Pixel,group01_MeanSmoothedNormalizedIntensity,group02_MeanSmoothedNormalizedIntensity,group03_MeanSmoothedNormalizedIntensity,group04_MeanSmoothedNormalizedIntensity,group05_MeanSmoothedNormalizedIntensity,group06_MeanSmoothedNormalizedIntensity,group07_MeanSmoothedNormalizedIntensity,group08_MeanSmoothedNormalizedIntensity,group09_MeanSmoothedNormalizedIntensity,group10_MeanSmoothedNormalizedIntensity,group11_MeanSmoothedNormalizedIntensity,group12_MeanSmoothedNormalizedIntensity
21,0.7525428176472968,0.7303100708890471,0.9042544243835794,0.7194608771109985,0.7198024564464427,0.7009801640983391,0.7261480995017459,0.88122318497152,0.8175822043413954,0.794538849894239,0.7183665789033533,0.8680775249480757
22,0.7524795047325046,0.7302234075554874,0.9041741032793806,0.7193896026876897,0.719727710219583,0.7009086147978154,0.7260446674048701,0.8811862713526981,0.8175341889762814,0.7944638858425094,0.7183139431878285,0.8680983914806563
23,0.7524162587997589,0.7301370119777071,0.904093266345504,0.7193187674492663,0.7196606258705961,0.700839966381013,0.7259433358266218,0.8811494770780947,0.8174958988635632,0.794394197559772,0.7182615499457331,0.8681221530742377
24,0.7523687060114447,0.7300519112252817,0.904017258789574,0.7192483433603148,0.7195925783249209,0.7007730587370444,0.7258398773907138,0.8811127963659364,0.8174561386321532,0.7943283783731604,0.7182215675518242,0.8681478191602479
25,0.752326943757585,0.7299849960595803,0.9039417896594009,0.7191847052354184,0.719529747346859,0.7007253256124866,0.7257458812052695,0.8810803208158685,0.8174137777701276,0.7942684901778155,0.7181810489192232,0.8681790851494993
26,0.7522860732073234,0.7299121921707219,0.9038760958633668,0.7191199470272313,0.7194656574531983,0.7006863240772493,0.7256379649554748,0.8810423557660101,0.8173701203194179,0.7942287803112598,0.7181400260922323,0.8682093732514534
27,0.7522437632542147,0.7298438857144863,0.9038141383655015,0.7190562873825487,0.719400373120852,0.700648240959659,0.7255481468165927,0.8810060223171163,0.8173252121968085,0.7941798143326688,0.7181106784626116,0.8682386869710909
28,0.7522000655849238,0.7297827456161594,0.9037543904285776,0.7189925518503987,0.7193400529038175,0.7006285204643359,0.7254742248742069,0.8809847896130691,0.8172802768157206,0.7941345680273656,0.7180800699604853,0.8682739593335669
29,0.7521617460219473,0.729722330064034,0.9036979546903927,0.7189276672828511,0.7192792671056294,0.7006073153381295,0.7253996488221388,0.8809681623645244,0.8172388157526832,0.7940916232707528,0.7180482401010393,0.8682993329099562
30,0.7521216884582924,0.7296655173680394,0.9036339597838564,0.7188616988615493,0.7192200473262937,0.7005867000820309,0.725325447846627,0.8809490163156217,0.8172040845946527,0.7940530386611723,0.7180152357313005,0.8683277052101431
31,0.7520799506699908,0.7296061137401828,0.9035840299678457,0.7187968564779001,0.7191622656013502,0.700563419293807,0.7252494985096691,0.880928874331149,0.8171614472186945,0.7940185198830123,0.7179892162583583,0.8683511126734625
32,0.752041070923155,0.7295462434842407,0.9035312696943512,0.7187352284652085,0.7191128852586482,0.700537545159454,0.725170841890486,0.8809130965014532,0.8171172512864538,0.7939809909148361,0.7179725963036734,0.868364430459396
33,0.7520059350124508,0.7294869151271323,0.9034810159135589,0.7186733501272269,0.7190560857028998,0.7004998097423885,0.7250917020952578,0.8808960289378623,0.8170868550028796,0.7939473070719775,0.7179597051468709,0.8683859960426036
