Pixel,MeanSmoothedNormalizedIntensity,StdSmoothedNormalizedIntensity,CVSmoothedNormalizedIntensity
21,0.8175822043413954,0.0035318655506532785,0.00431989044269668
22,0.8175341889762814,0.0034334079520423394,0.0041997117653778645
23,0.8174958988635632,0.003348997249605615,0.00409665327283134
24,0.8174561386321532,0.0032655465970831384,0.003994766743751374
25,0.8174137777701276,0.0031847045985587113,0.003896074038838028
26,0.8173701203194179,0.0031050654683926642,0.003798848760435779
27,0.8173252121968085,0.0030267657000272946,0.003703257473107855
28,0.8172802768157206,0.0029483094955324754,0.003607464390330879
29,0.8172388157526832,0.0028789913533193803,0.0035228274744485886
30,0.8172040845946527,0.0027845846755741796,0.00340745320302135
31,0.8171614472186945,0.0026838803993690704,0.003284394299931763
32,0.8171172512864538,0.0025871206518297686,0.0031661559559006433
33,0.8170868550028796,0.0025112025707650573,0.0030733606291539315
34,0.8170598447310298,0.002433567017365519,0.0029784440308244886
35,0.8170253178894052,0.00235717562415581,0.002885070477675067
36,0.8169789390538078,0.002283110628287254,0.002794577092686699
37,0.8169296826327244,0.002211943502184256,0.0027076302271889694
38,0.8168729481117778,0.0021642649687102287,0.0026494511462437104
39,0.8168186147883801,0.0021221049793998074,0.002598012509729101
40,0.8167759343947376,0.0020807612698019694,0.002547530090175702
41,0.8167134485423565,0.002051094393277861,0.0025114002921570442
42,0.8166418694731593,0.0020205530275461217,0.0024742216913879794
43,0.8165829723052779,0.0020013827327876477,0.0024509239117950095
44,0.8165288752331914,0.0019745894386655085,0.002418272639900932
45,0.8164733495516167,0.001951082511356491,0.0023896462908776736
46,0.8164270737410542,0.0019180601885819175,0.00234933437446278
47,0.8163740746241637,0.0018876190738938156,0.0023121986997968105
48,0.816312377621663,0.0018751175922536206,0.0022970588755701596
49,0.8162484148655988,0.001869334005673119,0.0022901533058179574
50,0.8161835042909928,0.001867808793553429,0.002288466728050291
51,0.816118883204356,0.0018681877003593414,0.002289112210005742
52,0.8160521768617087,0.0018744096392017693,0.0022969237658432393
53,0.8159740995849033,0.001886709473569212,0.002312217354115781
54,0.8158948527188337,0.0019039623331808346,0.002333587872059981
55,0.8158074948564368,0.0019261367660712118,0.0023610187185276687
56,0.8157208823081573,0.0019506924946223181,0.0023913725110268776
57,0.8156210233315001,0.0019644691002544527,0.0024085562339116115
58,0.8155076370214104,0.0019874639729325545,0.002437088118747287
59,0.8154030516080735,0.002002211823342592,0.0024554872825089235
60,0.8152962170254148,0.00201727354110494,0.0024742829648650958
61,0.8151933500623144,0.002032740094424246,0.0024935680526207197
62,0.815088495684632,0.002049267033405332,0.00251416508054632
63,0.8150078765703622,0.002069092328862962,0.0025387390580443436
64,0.8149300805216338,0.0020883097522400827,0.0025625630985462743
65,0.8148538819245882,0.002107829235516016,0.002586757309835198
66,0.8147885759784124,0.0021441831057284052,0.0026315821906973016
67,0.8147325519988392,0.002169633683825656,0.0026630011020214485
