Wavelength_nm,Group04_AreaNormShape,Group06_AreaNormShape,Difference_A_minus_B
405.028362554401,1.02804139361377,1.02799041716275,5.0976451019924e-05
405.072523960818,1.02803298320671,1.02798574279995,4.7240406760185e-05
405.116685367234,1.02802450976815,1.02798125993808,4.32498300699802e-05
405.160846773648,1.0280159815829,1.0279770425863,3.89389966000131e-05
405.205008180065,1.02800740471147,1.02797310563651,3.42990749599981e-05
405.249169586481,1.02799877102081,1.02796944552738,2.93254934300435e-05
405.293330992898,1.02799007713991,1.02796606554641,2.40115934999618e-05
405.337492399315,1.02798132983782,1.02796297816851,1.83516693099683e-05
405.381653805729,1.02797254828719,1.02796018364147,1.23646457199644e-05
405.425815212145,1.02796376825205,1.02795769564628,6.07260577001334e-06
405.469976618562,1.02795505169676,1.02795551686801,-4.65171249963703e-07
405.514138024978,1.02794644811641,1.02795359850523,-7.15038881993202e-06
405.558299431395,1.02793799131848,1.02795193184197,-1.39405234900192e-05
405.602460837809,1.02792970137306,1.02795051509906,-2.08137260000463e-05
405.646622244226,1.02792158437087,1.02794935181702,-2.77674461499622e-05
405.690783650642,1.02791363375422,1.02794844148922,-3.48077349998643e-05
405.734945057059,1.02790584383544,1.02794773433354,-4.18904980998835e-05
405.779106463475,1.0278982005613,1.02794719368856,-4.8993127260033e-05
405.823267869889,1.02789069551344,1.02794681145021,-5.61159367700181e-05
405.867429276306,1.02788332833827,1.02794660437164,-6.32760333700855e-05
405.911590682723,1.027876106541,1.02794660957179,-7.05030307899257e-05
405.955752089139,1.02786904956583,1.02794687264394,-7.78230781099953e-05
405.999913495556,1.02786219651271,1.02794737675851,-8.5180245799954e-05
406.04407490197,1.02785550562739,1.02794803326283,-9.25276354399873e-05
406.088236308387,1.02784891657931,1.02794876887127,-9.98522919599676e-05
406.132397714803,1.02784237281392,1.02794954557843,-0.000107172764509889
406.17655912122,1.02783583027721,1.02795036694191,-0.000114536664700182
406.220720527634,1.02782927070147,1.02795128336986,-0.00012201266839007
406.26488193405,1.02782273621113,1.02795237489983,-0.000129638688699973
406.309043340467,1.02781624193519,1.02795365870066,-0.000137416765469967
406.353204746883,1.02780979360473,1.02795513100138,-0.000145337396650014
406.3973661533,1.02780339736474,1.02795678170232,-0.000153384337580054
406.441527559714,1.02779705987157,1.02795859432466,-0.000161534453090084
406.485688966131,1.02779078872561,1.02796054225418,-0.000169753528570071
406.529850372547,1.0277845979231,1.0279625686144,-0.0001779706913001
406.574011778964,1.02777851551646,1.02796462129183,-0.000186105775370038
406.61817318538,1.02777256840838,1.02796666748322,-0.000194099074839915
406.662334591794,1.02776677786434,1.02796875512518,-0.000201977260839925
406.706495998211,1.02776115753652,1.02797088587215,-0.000209728335629933
406.750657404628,1.02775571017593,1.02797306433361,-0.000217354157679983
406.794818811044,1.02775041816454,1.0279752546546,-0.000224836490059888
406.838980217461,1.02774525904997,1.02797743646914,-0.000232177419170032
406.883141623875,1.02774021760141,1.02797965870656,-0.00023944110514984
406.927303030291,1.02773528683172,1.02798203732608,-0.00024675049435996
406.971464436708,1.02773046832353,1.02798454819679,-0.000254079873259982
407.015625843125,1.02772577625292,1.02798722040745,-0.00026144415453011
407.059787249539,1.0277212510948,1.02799009404282,-0.000268842948019987
407.103948655955,1.02771690062839,1.02799319232238,-0.000276291693990016
407.148110062372,1.0277127093943,1.02799652680904,-0.000283817414740151
407.192271468788,1.02770864663196,1.02800009891489,-0.000291452282930038
407.236432875205,1.02770467042236,1.0280038236701,-0.000299153247739881
407.280594281619,1.02770073789703,1.02800767602605,-0.00030693812901994
407.324755688036,1.0276968509945,1.02801163299393,-0.000314781999430025
407.368917094452,1.02769300651849,1.02801566154636,-0.0003226550278701
407.413078500869,1.02768918760706,1.0280197437219,-0.000330556114840119
407.457239907285,1.02768529418319,1.02802396246704,-0.000338668283849985
407.501401313699,1.02768132360917,1.02802834922941,-0.000347025620240027
407.545562720116,1.02767728757743,1.02803293047944,-0.000355642902009956
407.589724126533,1.02767319550447,1.02803772083677,-0.000364525332299914
407.633885532949,1.02766905863146,1.02804272540848,-0.000373666777019999
407.678046939366,1.02766488793212,1.02804794265781,-0.000383054725690002
407.72220834578,1.0276606479407,1.0280535059589,-0.000392858018199993
407.766369752196,1.02765640070088,1.02805941040832,-0.000403009707440116
407.810531158613,1.02765215354532,1.0280655891793,-0.000413435633979997
407.85469256503,1.0276479122424,1.0280719581546,-0.000424045912200022
407.898853971446,1.02764368017209,1.0280784994153,-0.000434819243209983
407.94301537786,1.02763946125346,1.02808522341546,-0.000445762161999985
407.987176784277,1.02763528354997,1.02809214937982,-0.000456865829850051
408.031338190693,1.0276311531682,1.02809929954179,-0.000468146373589828
408.07549959711,1.02762708167094,1.02810671488383,-0.000479633212890018
408.119661003524,1.02762311149563,1.02811439123562,-0.00049127973999008
408.163822409941,1.02761925564437,1.02812231226261,-0.000503056618240016
408.207983816357,1.02761550562638,1.02813050448986,-0.000514998863480054
408.252145222774,1.02761183973207,1.02813895039387,-0.000527110661800112
408.29630662919,1.02760816924347,1.0281476165767,-0.000539447333230081
408.340468035604,1.02760452619323,1.02815645130868,-0.000551925115449992
408.384629442021,1.02760095311118,1.02816538328106,-0.000564430169879948
408.428790848438,1.0275974855022,1.02817442255634,-0.00057693705413997
408.472952254854,1.02759415733524,1.02818360524812,-0.000589447912879848
408.517113661271,1.02759098641857,1.02819297157635,-0.000601985157780094
408.561275067685,1.02758798503145,1.0282025570458,-0.000614572014350001
408.605436474101,1.02758515921887,1.02821238003329,-0.000627220814420015
408.649597880518,1.02758250012074,1.02822240559779,-0.000639905477050062
408.693759286935,1.02757995960037,1.02823261538307,-0.000652655782700018
408.737920693351,1.0275775299743,1.02824298445169,-0.000665454477390082
408.782082099765,1.02757518117502,1.02825347178144,-0.000678290606419996
408.826243506182,1.02757289670854,1.02826402141973,-0.000691124711190039
408.870404912598,1.02757068023741,1.02827456167645,-0.000703881439039877
408.914566319015,1.02756857174294,1.02828500450043,-0.000716432757490004
408.958727725432,1.02756658553697,1.0282952896936,-0.000728704156629956
409.002889131846,1.02756472175264,1.02830538435934,-0.000740662606699916
409.047050538262,1.02756297423108,1.02831527831454,-0.000752304083460054
409.091211944679,1.02756133209918,1.02832498127381,-0.000763649174629899
409.135373351095,1.02755978638751,1.02833451762105,-0.000774731233539994
409.179534757509,1.02755836151193,1.02834389872086,-0.000785537208930043
409.223696163926,1.0275570646022,1.02835314609374,-0.000796081491539979
409.267857570343,1.02755587721045,1.02836226735811,-0.000806390147660041
409.312018976759,1.02755467169182,1.02837125090698,-0.000816579215159985
409.356180383176,1.02755341563347,1.02838006700838,-0.000826651374910004
409.40034178959,1.02755211967267,1.02838865889522,-0.000836539222550003
409.444503196007,1.02755079319654,1.02839690591422,-0.000846112717679981
409.488664602423,1.02754945320857,1.02840479198963,-0.000855338781059922
409.53282600884,1.02754811454451,1.02841237089619,-0.000864256351680082
409.576987415256,1.02754670575019,1.02841974091927,-0.000873035169079994
409.62114882167,1.02754525194879,1.02842703161834,-0.000881779669549942
409.665310228087,1.0275437776534,1.02843437815338,-0.000890600499980021
409.709471634503,1.02754227384488,1.02844179903132,-0.000899525186439876
409.75363304092,1.02754069871507,1.02844928012453,-0.000908581409460041
409.797794447337,1.02753906560452,1.02845680180289,-0.000917736198369878
409.841955853751,1.02753735617601,1.028464339345,-0.000926983168989981
409.886117260167,1.02753555416029,1.02847186643288,-0.000936312272590056
409.930278666584,1.02753366353099,1.02847935919444,-0.00094569566344993
