Pixel,Group01_AreaNormShape,Group02_AreaNormShape,Group03_AreaNormShape,Group04_AreaNormShape,Group05_AreaNormShape,Group06_AreaNormShape,Group07_AreaNormShape,Group08_AreaNormShape,Group09_AreaNormShape,Group10_AreaNormShape,Group11_AreaNormShape
21,0.996241945808247,1,1.00736806724788,0.988604481525562,0.999076086687656,0.981350141639177,0.991623060091888,0.985661975339167,0.985829858100492,0.990324208858185,0.980550915893039
21.1666283718579,0.996220743621246,1,1.00734502800308,0.98860384019552,0.999074243843344,0.981345034305304,0.991598569056495,0.985664173814807,0.985818617988586,0.990319452569041,0.980546022939088
21.3332567437158,0.99619940753831,1,1.00732182732258,0.988603194953249,0.999072396427333,0.981339888745175,0.99157390091742,0.985666413661504,0.985807298004648,0.990314664960584,0.98054109459418
21.4998851155737,0.99617794511316,1,1.00729847346881,0.988602546050382,0.999070545076229,0.981334706814061,0.991549064464408,0.985668694035758,0.985795902166032,0.990309847726604,0.980536132604946
21.6665134874316,0.996156363899514,1,1.00727497470419,0.988601893738551,0.999068690426636,0.98132949036723,0.991524068487205,0.985671014094066,0.985784434490093,0.990305002560896,0.980531138718016
21.8331418592896,0.996134671451093,1,1.00725133929118,0.988601238269387,0.999066833115159,0.98132424125995,0.991498921775556,0.985673372992925,0.985772898994185,0.990300131157251,0.980526114680022
21.9997702311475,0.996112875321616,1,1.0072275754922,0.988600579894523,0.999064973778402,0.981318961347491,0.991473633119207,0.985675769888835,0.985761299695664,0.990295235209461,0.980521062237594
22.1663986030054,0.996090983064803,1,1.00720369156968,0.98859991886559,0.999063113052971,0.981313652485121,0.991448211307902,0.985678203938293,0.985749640611884,0.990290316411321,0.980515983137364
22.3330269748633,0.996069002234374,1,1.00717969578606,0.988599255434219,0.999061251575468,0.981308316528109,0.991422665131389,0.985680674297797,0.985737925760199,0.99028537645662,0.980510879125962
22.4996553467212,0.996046940384049,1,1.00715559640378,0.988598589852043,0.999059389982501,0.981302955331723,0.991397003379413,0.985683180123845,0.985726159157964,0.990280417039153,0.980505751950019
22.6662837185791,0.996024805067546,1,1.00713140168527,0.988597922370694,0.999057528910672,0.981297570751232,0.991371234841717,0.985685720572936,0.985714344822535,0.990275439852711,0.980500603356166
22.832912090437,0.996002603838587,1,1.00710711989296,0.988597253241803,0.999055668996586,0.981292164641906,0.991345368308049,0.985688294801567,0.985702486771265,0.990270446591088,0.980495435091034
22.9995404622949,0.99598034425089,1,1.00708275928928,0.988596582717002,0.999053810876848,0.981286738859013,0.991319412568154,0.985690901966236,0.98569058902151,0.990265438948074,0.980490248901254
23.1661688341528,0.995958033858176,1,1.00705832813668,0.988595911047923,0.999051955188063,0.981281295257821,0.991293376411778,0.985693541223442,0.985678655590624,0.990260418617464,0.980485046533456
