Pixel,NormalizedADC,SmoothedNormalizedADC
21,0.869520547945206,0.878237395131692
22,0.874657534246575,0.878294179377536
23,0.869520547945206,0.878348686495174
24,0.870890410958904,0.878400951737366
25,0.873972602739726,0.87845101035687
26,0.870890410958904,0.878498897606444
27,0.875,0.878544648738846
28,0.879452054794521,0.878588299006835
29,0.875,0.878629883663169
30,0.879452054794521,0.878669437960607
31,0.873972602739726,0.878706997151908
32,0.875,0.87874259648983
33,0.875,0.87877627122713
34,0.875,0.878808056616569
35,0.874657534246575,0.878837987910904
36,0.874657534246575,0.878866100362893
37,0.877739726027397,0.878892429225295
38,0.879452054794521,0.878917009750869
39,0.875,0.878939877192373
40,0.875,0.878961066802565
41,0.875,0.878980613834205
42,0.872260273972603,0.87899855354005
43,0.875,0.879014921172859
44,0.875,0.879029751985389
45,0.874657534246575,0.879043081230401
46,0.875,0.879054944160651
47,0.876369863013699,0.8790653760289
48,0.875,0.879074412087905
49,0.875,0.879082087590424
50,0.873972602739726,0.879088437789216
51,0.873972602739726,0.87909349793704
52,0.875,0.879097303286654
53,0.879452054794521,0.879099889090816
54,0.870890410958904,0.879101290602285
55,0.877739726027397,0.879101543073819
56,0.874657534246575,0.879100681758177
57,0.873972602739726,0.879098741908118
58,0.875,0.879095758776399
59,0.873972602739726,0.87909176761578
60,0.870890410958904,0.879086803679017
61,0.876369863013699,0.879080902218871
62,0.870890410958904,0.8790740984881
63,0.872260273972603,0.879066427739461
64,0.869178082191781,0.879057925225714
65,0.875,0.879048626199618
66,0.874657534246575,0.879038565913929
67,0.875,0.879027779621407
68,0.873972602739726,0.87901630257481
69,0.869520547945206,0.879004170026897
70,0.870890410958904,0.878991417230427
71,0.873972602739726,0.878978079438156
72,0.869520547945206,0.878964191902846
73,0.874657534246575,0.878949789877252
74,0.872260273972603,0.878934908614135
75,0.875,0.878919583366253
76,0.875,0.878903849386363
77,0.879452054794521,0.878887741927224
78,0.875,0.878871296241596
79,0.874657534246575,0.878854547582236
80,0.876369863013699,0.878837531201902
81,0.875,0.878820282353354
82,0.875,0.87880283628935
83,0.88013698630137,0.878785228262647
84,0.874657534246575,0.878767493526005
85,0.874657534246575,0.878749667332183
86,0.875,0.878731784933938
87,0.875,0.878713881584029
88,0.875,0.878695992535214
89,0.879452054794521,0.878678153040253
90,0.872260273972603,0.878660398351902
