Pixel,NormalizedADC,SmoothedNormalizedADC
21,0.703451214316148,0.708881889236243
22,0.705581593523647,0.708886162899657
23,0.704729441840648,0.708891039528102
24,0.701746910950149,0.708896512199431
25,0.706433745206647,0.708902573991501
26,0.703451214316148,0.708909217982165
27,0.706433745206647,0.708916437249279
28,0.705155517682147,0.708924224870698
29,0.705581593523647,0.708932573924276
30,0.703451214316148,0.708941477487869
31,0.706433745206647,0.70895092863933
32,0.704729441840648,0.708960920456515
33,0.703451214316148,0.708971446017279
34,0.706859821048147,0.708982498399477
35,0.703451214316148,0.708994070680963
36,0.706433745206647,0.709006155939593
37,0.703451214316148,0.709018747253221
38,0.703451214316148,0.709031837699702
39,0.704729441840648,0.709045420356891
40,0.706433745206647,0.709059488302642
41,0.701746910950149,0.709074034614812
42,0.703451214316148,0.709089052371254
43,0.703451214316148,0.709104534649823
44,0.703451214316148,0.709120474528375
45,0.706859821048147,0.709136865084763
46,0.701746910950149,0.709153699396843
47,0.703451214316148,0.70917097054247
48,0.703451214316148,0.709188671599499
49,0.703451214316148,0.709206795645784
50,0.705581593523647,0.709225335759181
51,0.706859821048147,0.709244285017544
52,0.705581593523647,0.709263636498727
53,0.706859821048147,0.709283383280587
54,0.706433745206647,0.709303518440977
55,0.703451214316148,0.709324035057753
56,0.703451214316148,0.70934492620877
57,0.703451214316148,0.709366184971882
58,0.703451214316148,0.709387804424943
59,0.703451214316148,0.709409777645811
60,0.703451214316148,0.709432097712338
61,0.705581593523647,0.709454757702379
62,0.706433745206647,0.70947775069379
63,0.701746910950149,0.709501069764426
64,0.703451214316148,0.70952470799214
65,0.706433745206647,0.709548658454789
66,0.706433745206647,0.709572914230227
67,0.703451214316148,0.709597468396309
68,0.701746910950149,0.70962231403089
69,0.706433745206647,0.709647444211824
70,0.706433745206647,0.709672852016966
71,0.706433745206647,0.709698530524172
72,0.703025138474649,0.709724472811296
73,0.706433745206647,0.709750671956193
74,0.706433745206647,0.709777121036718
75,0.706433745206647,0.709803813130725
76,0.706433745206647,0.70983074131607
77,0.703451214316148,0.709857898670607
78,0.705155517682147,0.709885278272192
79,0.706859821048147,0.709912873198678
80,0.706859821048147,0.709940676527922
81,0.706859821048147,0.709968681337777
82,0.706859821048147,0.7099968807061
83,0.704729441840648,0.710025267710744
84,0.705581593523647,0.710053835429563
85,0.706859821048147,0.710082576940415
86,0.706433745206647,0.710111485321151
87,0.706859821048147,0.71014055364963
88,0.708564124414146,0.710169775003704
89,0.708564124414146,0.710199142461228
90,0.706859821048147,0.710228649100059
91,0.708564124414146,0.710258287998049
92,0.706859821048147,0.710288052233054
93,0.708564124414146,0.71031793488293
94,0.706433745206647,0.710347929025531
95,0.708564124414146,0.710378027738712
96,0.706859821048147,0.710408224100327
97,0.703451214316148,0.710452546689579
98,0.703451214316148,0.710477640775238
99,0.701746910950149,0.710505342533659
100,0.703451214316148,0.710536041546217
101,0.704729441840648,0.710569847119919
102,0.703451214316148,0.710604669155346
103,0.703451214316148,0.710640477756562
104,0.703451214316148,0.710681363434611
105,0.706433745206647,0.710735258701628
106,0.705581593523647,0.710788940960122
107,0.706433745206647,0.710846515669101
108,0.706433745206647,0.710903569067746
109,0.703451214316148,0.710955687395242
110,0.706433745206647,0.710993768461071
111,0.705581593523647,0.711043354976736
112,0.701746910950149,0.711092070773351
113,0.703025138474649,0.711126693253424
114,0.703451214316148,0.711159557478935
115,0.706433745206647,0.71119063729094
116,0.705581593523647,0.7112199065305
117,0.706859821048147,0.711247339038673
118,0.703451214316148,0.711272908656517
119,0.706859821048147,0.711296589225091
120,0.706433745206647,0.711318354585454
121,0.706433745206647,0.711354660206558
122,0.706433745206647,0.711387884678062
123,0.706859821048147,0.711401535161095
124,0.706433745206647,0.711425556917005
125,0.706433745206647,0.711468740097509
126,0.706859821048147,0.711510486404731
127,0.706433745206647,0.711538438354741
128,0.705581593523647,0.711578157344001
129,0.706433745206647,0.711604078239059
130,0.705581593523647,0.711625280808482
131,0.706433745206647,0.711628264048902
132,0.706859821048147,0.711629201286403
133,0.705155517682147,0.711628066362044
134,0.708138048572646,0.711633073930832
135,0.706433745206647,0.711635400208123
136,0.708138048572646,0.711635026508959
137,0.706433745206647,0.711631934148384
138,0.708564124414146,0.711626104441438
139,0.706433745206647,0.711617518703163
140,0.708564124414146,0.711597917434655
141,0.712398806987644,0.711598092325863
142,0.708138048572646,0.711606238967621
143,0.706859821048147,0.711609996139008
144,0.708564124414146,0.711613762652874
145,0.706433745206647,0.711617534772227
146,0.708564124414146,0.711621308760076
147,0.708564124414146,0.71162508087943
148,0.706433745206647,0.711632967800269
149,0.708564124414146,0.711640566972753
150,0.706433745206647,0.711647878396881
151,0.708564124414146,0.711654902072654
152,0.708564124414146,0.711661638000071
153,0.706433745206647,0.711668086179132
154,0.708564124414146,0.711674246609837
155,0.706433745206647,0.711680119292187
156,0.706859821048147,0.711685704226181
157,0.706859821048147,0.711695403961662
158,0.706859821048147,0.711705101828646
159,0.708138048572646,0.711714801564127
160,0.708564124414146,0.711724506905094
161,0.708564124414146,0.711734221588541
162,0.708564124414146,0.711743949351458
163,0.708564124414146,0.711753693930838
164,0.708564124414146,0.711763459063672
165,0.706859821048147,0.711781489300899
166,0.708564124414146,0.711798990753809
167,0.703451214316148,0.711854186867613
168,0.706859821048147,0.711908628109108
169,0.706859821048147,0.711944749122826
170,0.706859821048147,0.711979061432593
171,0.706859821048147,0.712011594934344
172,0.708564124414146,0.712037976974169
173,0.706859821048147,0.712044743918616
174,0.708564124414146,0.71203518095703
175,0.708564124414146,0.71202164931033
176,0.708138048572646,0.712004148978517
177,0.708564124414146,0.71198267996159
178,0.708564124414146,0.711957242259551
179,0.708564124414146,0.711931956279372
180,0.706433745206647,0.711927992078648
181,0.706859821048147,0.711919806945876
182,0.705581593523647,0.711916232139681
183,0.706859821048147,0.71190906047904
184,0.705581593523647,0.711898325596878
