Pixel,SmoothedIntensityADC,ReferenceIntensityADC,ReferenceCorrectedRatio,ReferenceCorrectedRatioNormalizedMax
21,1267.3824649287324,2295.3742109671243,0.5521463380015663,0.8231305649096436
22,1267.4344515529745,2295.264152045115,0.5521954631773738,0.8232037999035767
23,1267.4879371545128,2295.1260979790954,0.5522519822638771,0.8232880576164323
24,1267.542852013474,2294.990850138015,0.5523084555815319,0.8233722470978508
25,1267.599126409983,2294.8584085218736,0.5523648525341692,0.8234563227355733
26,1267.656690624166,2294.728773130671,0.5524211425190425,0.8235402389075345
27,1267.7154749361484,2294.601943964408,0.5524772949271991,0.8236239499824178
28,1267.7754096260562,2294.4779210230827,0.5525332791438538,0.8237074103202111
29,1267.836424974015,2294.385531731707,0.5525821216354623,0.8237802238932483
30,1267.8984512601508,2294.294000866283,0.5526312019215566,0.8238533919663447
31,1267.9614187645889,2294.222572855104,0.5526758535840931,0.823919957921198
32,1268.025257767455,2294.150757027123,0.5527209813406625,0.8239872336291063
33,1268.0898985488755,2294.0785969572635,0.5527665443680955,0.8240551582315688
34,1268.1552713889755,2294.0061362204465,0.5528125018350474,0.824123670857897
35,1268.1540425761918,2293.933418391593,0.552829490345612,0.8241489970465097
36,1268.1579512466426,2293.8604870456247,0.5528487710601638,0.8241777404146508
37,1268.1668666755634,2293.7873857574637,0.5528702767090963,0.8242098006779109
38,1268.1806581381904,2293.7141581020296,0.5528939400136793,0.8242450775382801
39,1268.1991949097596,2293.640847654245,0.5529196936855976,0.8242834706834585
40,1268.2223462655058,2293.567497989031,0.552947470426515,0.8243248797862074
41,1268.2499814806658,2293.494152681309,0.5529772029276652,0.8243692045037387
42,1268.281969830475,2293.440073589341,0.5530041898350343,0.8244094361357882
43,1268.3181805901688,2293.3847874720495,0.55303331020531,0.8244528482988067
44,1268.3584830349835,2293.3283553343244,0.5530644925244822,0.8244993343808992
45,1268.4027464401543,2293.270838181056,0.5530976652745507,0.8245487877642221
46,1268.4508400809175,2293.212297017136,0.5531327569326387,0.8246011018236618
47,1268.5698972241978,2293.152792847451,0.5531990285082533,0.8246998983848606
48,1268.6879782892386,2293.0923866768935,0.5532650954930767,0.8247983899455152
49,1268.8050135561657,2293.0311395103536,0.5533309128227113,0.8248965093243724
50,1268.9209333051044,2292.969112352719,0.5533964354204135,0.8249941893217735
51,1269.0356678161804,2292.906366208882,0.5534616181970041,0.8250913627195209
52,1269.1491473695203,2292.842962083731,0.5535264160508054,0.8251879622807847
53,1269.2613022452488,2292.778960982157,0.5535907838675979,0.8252839207500379
54,1269.3720627234925,2292.7144239090494,0.5536546765206061,0.8253791708530351
55,1269.4813590843764,2292.649411869299,0.5537180488705039,0.825473645296821
56,1269.5891216080267,2292.5839858677946,0.553780855765447,0.8255672767697776
57,1269.695280574569,2292.5182069094267,0.5538430520411272,0.8256599979417067
58,1269.799766264129,2292.452135999086,0.5539045925208513,0.8257517414639467
59,1269.9121180985026,2292.3858341416612,0.5539696237801941,0.8258486889823046
60,1270.0123988081461,2292.319362342043,0.5540294339749351,0.8259378530245088
61,1270.110805796169,2292.2623907467914,0.5540861338227436,0.8260223802133079
62,1270.216878484367,2292.233549377807,0.5541393802691479,0.8261017591288083
63,1270.320288744867,2292.2021327309667,0.5541920891729504,0.8261803366847508
64,1270.4882395644674,2292.168236671099,0.5542735560325142,0.8263017861221895
65,1270.6488610822867,2292.1319570630285,0.5543524041741488,0.8264193316185532
66,1270.8021532983244,2292.0933897715854,0.5544286105309889,0.8265329387861431
67,1270.94811621258,2292.062239803264,0.5544998273352604,0.8266391076118628
68,1271.0867498250545,2292.0283446148937,0.5545685125628855,0.8267415024052805
69,1271.2180541357473,2291.9918087862857,0.5546346410412851,0.8268400856395345
70,1271.3420291446585,2291.9527368972526,0.5546981875663574,0.8269348197407694
71,1271.458674851788,2291.9016243859337,0.554761452814297,0.8270291345187397
72,1271.5679912571356,2291.8584433818105,0.5548196028114376,0.8271158235660113
73,1271.6699783607019,2291.8130313417114,0.5548750971261471,0.8271985535661439
74,1271.7646361624866,2291.7654928454467,0.5549279104396797,0.8272772867743731
75,1271.8519646624898,2291.715932472829,0.554978017406426,0.8273519854058864
76,1271.931963860711,2291.664454803669,0.5550253926549119,0.8274226116373128
77,1272.004633757151,2291.5727278510985,0.5550793209823027,0.8275030070896316
78,1272.0699743518092,2291.481889826925,0.555129839777127,0.8275783196675848
79,1272.1279856446859,2291.3920104510225,0.5551769316828021,0.8276485234962678
80,1272.1786676357808,2291.303159443265,0.5552205793426704,0.8277135927006646
81,1272.2220203250943,2291.2154065235277,0.5552607654011209,0.8277735014073193
82,1272.1811705792666,2291.128821411684,0.5552639199900639,0.827778204215977
83,1272.1381856622897,2291.072301252618,0.5552588562860991,0.8277706553304404
84,1272.1698689876491,2291.015140542207,0.5552865393489145,0.8278119247794349
85,1272.1940835714784,2290.9670442869497,0.5553087665507827,0.8278450607217945
86,1272.1339562804174,2290.9178499436707,0.5552944451114634,0.8278237105585754
87,1272.0715543784593,2290.8676620921847,0.5552793709684269,0.8278012382771907
88,1272.0068081457293,2290.816585312302,0.5552634882693236,0.8277775606138876
89,1271.939647862353,2290.764724183833,0.5552467411578145,0.8277525942989664
90,1271.8700038084555,2290.7121832865905,0.5552290737737487,0.8277262560570446
91,1271.8746793975233,2290.6206306337062,0.5552533066314241,0.8277623819976783
92,1271.8715376456896,2290.531204436986,0.5552736130300029,0.8277926544384844
93,1271.8605785529542,2290.4439744163055,0.5552899755502965,0.8278170474112265
94,1271.8418021193174,2290.359010291538,0.5553023767908881,0.8278355349741627
95,1271.8152083447794,2290.2763817825585,0.555310799369509,0.827848091214096
96,1271.7807972293401,2290.196158609241,0.5553152259244246,0.8278546902484416
97,1271.738568772999,2290.1184104914605,0.5553156391158321,0.8278553062273104
98,1271.6885229757568,2290.072034574099,0.5553050313599684,0.8278394923615369
99,1271.630659837613,2290.0359344947055,0.5552885178276459,0.8278148742625768
100,1271.579852350744,2289.969146341158,0.5552825261346577,0.8278059419464594
101,1271.5214968159883,2289.890308850341,0.5552761596927175,0.8277964509608455
102,1271.4658603563284,2289.8091008838005,0.5552715551115502,0.827789586527929
103,1271.4129429717652,2289.7255921614083,0.5552686956569337,0.8277853237006098
104,1271.2806076784318,2289.6302432613697,0.5552340214844509,0.8277336320217572
105,1271.1605308819903,2289.5045548865487,0.5552120558873401,0.827700886075413
106,1270.955902179538,2289.379363265832,0.5551530351730355,0.8276128989774948
107,1270.8255922485519,2289.245094117486,0.5551286734278055,0.8275765808934413
108,1270.630388801601,2289.1120407094477,0.5550756652382134,0.8274975571672283
109,1270.4374163906268,2288.990496309653,0.5550208349221398,0.8274158170452034
110,1270.318405436763,2288.901688005318,0.5549903746821875,0.8273704074267859
111,1270.206013513462,2288.7860480073755,0.5549693098746855,0.8273390043625882
112,1270.1001621858645,2288.67243860077,0.5549506083807991,0.8273111244869685
113,1270.0007730191132,2288.5916960143895,0.5549267592077849,0.8272755705370376
114,1269.9077675783487,2288.515053828113,0.5549047035780301,0.8272426903715272
115,1269.821067428712,2288.442573046833,0.5548843927239441,0.8272124112885251
116,1269.7508612583288,2288.3743146754364,0.5548702644997217,0.8271913491671544
117,1269.6874702056548,2288.310339718815,0.5548580750466182,0.8271731773334784
118,1269.6308245508153,2288.250709181859,0.5548477793347911,0.8271578286577577
