Curve,PeakPixel,PeakValue,SourceCsv
4-1,2441,1,data/legacy/origin-smooth-selected-skip20/data\4-1TCD1304采集数据_skip20_smoothed.csv
6-1,2494,1,data/legacy/origin-smooth-selected-skip20/data\6-1TCD1304采集数据_skip20_smoothed.csv
