Pixel	ADC	VoltageV
1	3959	3.190403
2	3959	3.190403
3	3966	3.196044
4	3958	3.189597
5	3958	3.189597
6	3958	3.189597
7	3958	3.189597
8	3958	3.189597
9	3958	3.189597
10	3958	3.189597
11	3958	3.189597
12	3958	3.189597
13	3958	3.189597
14	3959	3.190403
15	3958	3.189597
16	3958	3.189597
17	3522	2.838242
18	3150	2.538462
19	3158	2.544908
20	3158	2.544908
21	3170	2.554579
22	3154	2.541685
23	3170	2.554579
24	3158	2.544908
25	3174	2.557802
26	3158	2.544908
27	3170	2.554579
28	3170	2.554579
29	3168	2.552967
30	3158	2.544908
31	3168	2.552967
32	3158	2.544908
33	3170	2.554579
34	3170	2.554579
35	3174	2.557802
36	3170	2.554579
37	3174	2.557802
38	3174	2.557802
39	3174	2.557802
40	3158	2.544908
41	3170	2.554579
42	3170	2.554579
43	3150	2.538462
44	3170	2.554579
45	3158	2.544908
46	3142	2.532015
47	3170	2.554579
48	3158	2.544908
49	3170	2.554579
50	3158	2.544908
51	3154	2.541685
52	3142	2.532015
53	3150	2.538462
54	3154	2.541685
55	3154	2.541685
56	3142	2.532015
57	3158	2.544908
58	3170	2.554579
59	3158	2.544908
60	3158	2.544908
61	3142	2.532015
62	3158	2.544908
63	3158	2.544908
64	3158	2.544908
65	3174	2.557802
66	3158	2.544908
67	3142	2.532015
68	3158	2.544908
69	3170	2.554579
70	3158	2.544908
71	3170	2.554579
72	3158	2.544908
73	3174	2.557802
74	3170	2.554579
75	3170	2.554579
76	3174	2.557802
77	3158	2.544908
78	3174	2.557802
79	3158	2.544908
80	3170	2.554579
81	3170	2.554579
82	3174	2.557802
83	3170	2.554579
84	3158	2.544908
85	3158	2.544908
86	3168	2.552967
87	3170	2.554579
88	3170	2.554579
89	3158	2.544908
90	3170	2.554579
91	3170	2.554579
92	3174	2.557802
93	3170	2.554579
94	3174	2.557802
95	3158	2.544908
96	3170	2.554579
97	3170	2.554579
98	3158	2.544908
99	3170	2.554579
100	3170	2.554579
101	3158	2.544908
102	3158	2.544908
103	3158	2.544908
104	3154	2.541685
105	3158	2.544908
106	3158	2.544908
107	3158	2.544908
108	3142	2.532015
109	3143	2.532821
110	3158	2.544908
111	3142	2.532015
112	3158	2.544908
113	3142	2.532015
114	3150	2.538462
115	3170	2.554579
116	3170	2.554579
117	3158	2.544908
118	3150	2.538462
119	3158	2.544908
120	3170	2.554579
121	3170	2.554579
122	3158	2.544908
123	3158	2.544908
124	3168	2.552967
125	3158	2.544908
126	3170	2.554579
127	3154	2.541685
128	3154	2.541685
129	3158	2.544908
130	3170	2.554579
131	3158	2.544908
132	3170	2.554579
133	3142	2.532015
134	3158	2.544908
135	3158	2.544908
136	3158	2.544908
137	3158	2.544908
138	3174	2.557802
139	3170	2.554579
140	3158	2.544908
141	3158	2.544908
142	3174	2.557802
143	3170	2.554579
144	3170	2.554579
145	3158	2.544908
146	3154	2.541685
147	3158	2.544908
148	3170	2.554579
149	3170	2.554579
150	3158	2.544908
151	3158	2.544908
152	3150	2.538462
153	3150	2.538462
154	3170	2.554579
155	3158	2.544908
156	3170	2.554579
157	3158	2.544908
158	3158	2.544908
159	3170	2.554579
160	3158	2.544908
161	3158	2.544908
162	3158	2.544908
163	3170	2.554579
164	3170	2.554579
165	3158	2.544908
166	3174	2.557802
167	3158	2.544908
168	3158	2.544908
169	3150	2.538462
170	3170	2.554579
171	3158	2.544908
172	3158	2.544908
173	3142	2.532015
174	3158	2.544908
175	3158	2.544908
176	3174	2.557802
177	3158	2.544908
178	3158	2.544908
179	3158	2.544908
180	3170	2.554579
181	3158	2.544908
182	3158	2.544908
183	3158	2.544908
184	3158	2.544908
185	3158	2.544908
186	3142	2.532015
187	3158	2.544908
188	3158	2.544908
189	3170	2.554579
190	3158	2.544908
191	3168	2.552967
192	3174	2.557802
193	3170	2.554579
194	3158	2.544908
195	3170	2.554579
196	3170	2.554579
197	3143	2.532821
198	3158	2.544908
199	3158	2.544908
200	3142	2.532015
201	3158	2.544908
202	3150	2.538462
203	3158	2.544908
204	3158	2.544908
205	3158	2.544908
206	3150	2.538462
207	3150	2.538462
208	3142	2.532015
209	3174	2.557802
210	3174	2.557802
211	3158	2.544908
