Pixel,ADC,VoltageV
1,3935,3.171062
2,3934,3.170256
3,3935,3.171062
4,3926,3.163810
5,3927,3.164615
6,3927,3.164615
7,3927,3.164615
8,3924,3.162198
9,3926,3.163810
10,3927,3.164615
11,3926,3.163810
12,3927,3.164615
13,3927,3.164615
14,3927,3.164615
15,3927,3.164615
16,3924,3.162198
17,3110,2.506227
18,2516,2.027546
19,2534,2.042051
20,2526,2.035604
21,2548,2.053333
22,2559,2.062198
23,2551,2.055751
24,2544,2.050110
25,2556,2.059780
26,2556,2.059780
27,2544,2.050110
28,2558,2.061392
29,2567,2.068645
30,2559,2.062198
31,2551,2.055751
32,2544,2.050110
33,2551,2.055751
34,2551,2.055751
35,2558,2.061392
36,2551,2.055751
37,2556,2.059780
38,2544,2.050110
39,2559,2.062198
40,2551,2.055751
41,2548,2.053333
42,2559,2.062198
43,2544,2.050110
44,2550,2.054945
45,2551,2.055751
46,2551,2.055751
47,2550,2.054945
48,2548,2.053333
49,2556,2.059780
50,2558,2.061392
51,2548,2.053333
52,2548,2.053333
53,2550,2.054945
54,2551,2.055751
55,2556,2.059780
56,2551,2.055751
57,2558,2.061392
58,2535,2.042857
59,2551,2.055751
60,2551,2.055751
61,2532,2.040440
62,2544,2.050110
63,2535,2.042857
64,2544,2.050110
65,2548,2.053333
66,2544,2.050110
67,2548,2.053333
68,2544,2.050110
69,2548,2.053333
70,2551,2.055751
71,2559,2.062198
72,2535,2.042857
73,2551,2.055751
74,2551,2.055751
75,2559,2.062198
76,2551,2.055751
77,2559,2.062198
78,2556,2.059780
79,2544,2.050110
80,2556,2.059780
81,2551,2.055751
82,2558,2.061392
83,2558,2.061392
84,2564,2.066227
85,2559,2.062198
86,2566,2.067839
87,2576,2.075897
88,2559,2.062198
89,2566,2.067839
90,2559,2.062198
91,2551,2.055751
92,2566,2.067839
93,2548,2.053333
94,2551,2.055751
95,2548,2.053333
96,2559,2.062198
97,2551,2.055751
98,2548,2.053333
99,2544,2.050110
100,2544,2.050110
101,2548,2.053333
102,2535,2.042857
103,2544,2.050110
104,2550,2.054945
105,2548,2.053333
106,2534,2.042051
107,2548,2.053333
108,2559,2.062198
109,2559,2.062198
110,2544,2.050110
111,2551,2.055751
112,2548,2.053333
113,2544,2.050110
114,2544,2.050110
115,2535,2.042857
116,2544,2.050110
117,2551,2.055751
118,2548,2.053333
119,2558,2.061392
120,2544,2.050110
121,2548,2.053333
122,2559,2.062198
123,2556,2.059780
124,2544,2.050110
125,2558,2.061392
126,2558,2.061392
127,2551,2.055751
128,2548,2.053333
129,2540,2.046886
130,2544,2.050110
131,2544,2.050110
132,2559,2.062198
133,2557,2.060586
134,2559,2.062198
135,2548,2.053333
136,2559,2.062198
137,2551,2.055751
138,2567,2.068645
139,2559,2.062198
140,2551,2.055751
141,2551,2.055751
142,2559,2.062198
143,2564,2.066227
144,2559,2.062198
145,2556,2.059780
146,2558,2.061392
147,2580,2.079121
148,2549,2.054139
149,2555,2.058974
150,2543,2.049304
151,2554,2.058168
152,2553,2.057363
153,2550,2.054945
154,2576,2.075897
155,2559,2.062198
156,2554,2.058168
157,2535,2.042857
158,2554,2.058168
159,2559,2.062198
160,2558,2.061392
161,2551,2.055751
162,2554,2.058168
163,2550,2.054945
164,2558,2.061392
165,2550,2.054945
166,2554,2.058168
167,2551,2.055751
168,2570,2.071062
169,2546,2.051722
170,2554,2.058168
171,2546,2.051722
172,2554,2.058168
173,2559,2.062198
174,2552,2.056557
175,2559,2.062198
176,2554,2.058168
177,2546,2.051722
178,2552,2.056557
179,2552,2.056557
180,2539,2.046081
181,2554,2.058168
182,2539,2.046081
183,2559,2.062198
184,2552,2.056557
185,2543,2.049304
186,2539,2.046081
187,2552,2.056557
188,2543,2.049304
189,2554,2.058168
190,2552,2.056557
191,2538,2.045275
192,2539,2.046081
193,2555,2.058974
194,2547,2.052527
195,2539,2.046081
196,2554,2.058168
197,2539,2.046081
198,2539,2.046081
199,2552,2.056557
200,2530,2.038828
201,2547,2.052527
202,2538,2.045275
203,2538,2.045275
204,2552,2.056557
205,2554,2.058168
206,2536,2.043663
207,2543,2.049304
208,2539,2.046081
209,2552,2.056557
210,2554,2.058168
211,2554,2.058168
212,2552,2.056557
213,2555,2.058974
214,2555,2.058974
215,2568,2.069451
216,2554,2.058168
217,2559,2.062198
218,2547,2.052527
219,2568,2.069451
220,2552,2.056557
221,2555,2.058974
222,2559,2.062198
223,2543,2.049304
224,2555,2.058974
225,2552,2.056557
226,2552,2.056557
227,2568,2.069451
228,2559,2.062198
229,2555,2.058974
230,2552,2.056557
231,2559,2.062198
232,2554,2.058168
233,2570,2.071062
234,2555,2.058974
235,2559,2.062198
236,2552,2.056557
237,2559,2.062198
238,2554,2.058168
239,2539,2.046081
240,2552,2.056557
241,2552,2.056557
242,2539,2.046081
243,2543,2.049304
244,2552,2.056557
245,2554,2.058168
246,2559,2.062198
247,2552,2.056557
248,2554,2.058168
249,2547,2.052527
250,2552,2.056557
251,2559,2.062198
252,2552,2.056557
253,2559,2.062198
254,2555,2.058974
255,2554,2.058168
256,2555,2.058974
257,2559,2.062198
258,2539,2.046081
259,2555,2.058974
260,2559,2.062198
261,2543,2.049304
262,2543,2.049304
263,2555,2.058974
264,2555,2.058974
265,2555,2.058974
266,2547,2.052527
267,2555,2.058974
268,2555,2.058974
269,2554,2.058168
270,2547,2.052527
271,2554,2.058168
272,2554,2.058168
273,2552,2.056557
274,2539,2.046081
275,2554,2.058168
276,2554,2.058168
277,2531,2.039634
278,2543,2.049304
279,2539,2.046081
280,2552,2.056557
281,2546,2.051722
282,2568,2.069451
283,2547,2.052527
284,2547,2.052527
285,2547,2.052527
286,2539,2.046081
287,2547,2.052527
288,2552,2.056557
289,2554,2.058168
290,2547,2.052527
291,2559,2.062198
292,2554,2.058168
293,2555,2.058974
294,2555,2.058974
