Wavelength_nm,Group01_AreaNormShape,Group02_AreaNormShape,Group03_AreaNormShape,Group04_AreaNormShape,Group05_AreaNormShape,Group06_AreaNormShape,Group07_AreaNormShape,Group08_AreaNormShape,Group09_AreaNormShape,Group10_AreaNormShape,Group11_AreaNormShape
405.028362554401,1.02590922496574,1,1.0163277831559,1.02804139361377,1.00898889216219,1.02799041716275,1.01695957725749,1.03991570402276,1.0188068901219,1.01404583196796,1.01372182327301
405.072523960818,1.02589261322001,1,1.01629245527211,1.02803298320671,1.00898095867495,1.02798574279995,1.01695385475757,1.03988436936425,1.01878412017859,1.01402785259926,1.01372211645495
405.116685367234,1.0258757413782,1,1.01625687866481,1.02802450976815,1.00897310919875,1.02798125993808,1.01694823051569,1.03985259042708,1.0187611530845,1.0140098405227,1.01372232096648
405.160846773648,1.02585863678733,1,1.01622109599496,1.0280159815829,1.00896538179779,1.0279770425863,1.01694273653917,1.03982036947555,1.0187380207403,1.01399181914105,1.01372245382143
405.205008180065,1.02584131405586,1,1.01618514963955,1.02800740471147,1.00895785678366,1.02797310563651,1.01693744135034,1.03978770918042,1.01871474146326,1.01397382159695,1.01372252669462
405.249169586481,1.02582378278414,1,1.01614907848992,1.02799877102081,1.00895057625767,1.02796944552738,1.01693237915149,1.03975460316444,1.0186913299654,1.01395589648401,1.01372256115122
405.293330992898,1.02580605608441,1,1.01611290823811,1.02799007713991,1.00894353954321,1.02796606554641,1.01692755714932,1.039721043147,1.01866780724341,1.01393809376116,1.0137225697245
405.337492399315,1.02578815182182,1,1.01607665033955,1.02798132983782,1.008936710934,1.02796297816851,1.01692296326472,1.03968702194236,1.01864420170724,1.0139204599842,1.01372257164647
405.381653805729,1.02577009348202,1,1.01604030314649,1.02797254828719,1.00893002639259,1.02796018364147,1.01691856896124,1.03965253589174,1.01862054924868,1.01390303444267,1.01372258452857
405.425815212145,1.02575191249105,1,1.01600385407141,1.02796376825205,1.0089234112149,1.02795769564628,1.01691433744251,1.03961758859096,1.01859689459516,1.01388584439189,1.01372262155671
405.469976618562,1.02573365528707,1,1.01596729487504,1.02795505169676,1.00891686926176,1.02795551686801,1.01691026602993,1.0395822050668,1.01857329617888,1.0138688911777,1.01372268298769
405.514138024978,1.02571536448664,1,1.01593063237265,1.02794644811641,1.00891042581105,1.02795359850523,1.01690636087061,1.0395464249147,1.01854981393436,1.0138521561318,1.01372279296378
405.558299431395,1.02569707001698,1,1.01589388152137,1.02793799131848,1.00890406041712,1.02795193184197,1.01690261552447,1.03951028695971,1.01852648787649,1.01383561622136,1.0137229744721
405.602460837809,1.02567878900601,1,1.0158570625055,1.02792970137306,1.00889780560098,1.02795051509906,1.01689897860161,1.03947382593463,1.01850333487846,1.01381924728316,1.01372324079996
405.646622244226,1.02566052604713,1,1.01582019916846,1.02792158437087,1.00889168674566,1.02794935181702,1.01689546161361,1.03943707034218,1.01848034823724,1.01380302638057,1.01372359231684
405.690783650642,1.0256422729301,1,1.01578331361512,1.02791363375422,1.00888572105392,1.02794844148922,1.01689206991925,1.03940003899796,1.0184574972477,1.01378693498998,1.01372400771274
405.734945057059,1.02562401112895,1,1.01574640311191,1.02790584383544,1.00887991687595,1.02794773433354,1.01688880344442,1.03936273231036,1.01843473474487,1.01377096271476,1.01372441838277
405.779106463475,1.02560572066458,1,1.01570947435361,1.0278982005613,1.00887421436768,1.02794719368856,1.01688566545416,1.03932515073587,1.01841201508245,1.01375507309434,1.01372480572623
405.823267869889,1.02558739814885,1,1.01567254386397,1.02789069551344,1.00886858095648,1.02794681145021,1.0168826556291,1.03928730358672,1.01838931115699,1.0137392316406,1.01372514415005
