Pixel	ADC	VoltageV
1	3933	3.169451
2	3933	3.169451
3	3933	3.169451
4	3925	3.163004
5	3925	3.163004
6	3925	3.163004
7	3932	3.168645
8	3925	3.163004
9	3924	3.162198
10	3932	3.168645
11	3925	3.163004
12	3925	3.163004
13	3925	3.163004
14	3933	3.169451
15	3925	3.163004
16	3925	3.163004
17	3156	2.543297
18	2533	2.041245
19	2559	2.062198
20	2557	2.060586
21	2573	2.073480
22	2557	2.060586
23	2573	2.073480
24	2565	2.067033
25	2580	2.079121
26	2565	2.067033
27	2565	2.067033
28	2572	2.072674
29	2572	2.072674
30	2573	2.073480
31	2573	2.073480
32	2572	2.072674
33	2565	2.067033
34	2581	2.079927
35	2581	2.079927
36	2573	2.073480
37	2559	2.062198
38	2572	2.072674
39	2573	2.073480
40	2588	2.085568
41	2580	2.079121
42	2565	2.067033
43	2572	2.072674
44	2573	2.073480
45	2580	2.079121
46	2580	2.079121
47	2581	2.079927
48	2580	2.079121
49	2589	2.086374
50	2572	2.072674
51	2573	2.073480
52	2588	2.085568
53	2581	2.079927
54	2572	2.072674
55	2580	2.079121
56	2572	2.072674
57	2580	2.079121
58	2581	2.079927
59	2581	2.079927
60	2588	2.085568
61	2581	2.079927
62	2572	2.072674
63	2581	2.079927
64	2580	2.079121
65	2589	2.086374
66	2557	2.060586
67	2588	2.085568
68	2589	2.086374
69	2565	2.067033
70	2573	2.073480
71	2580	2.079121
72	2589	2.086374
73	2580	2.079121
74	2588	2.085568
75	2573	2.073480
76	2580	2.079121
77	2572	2.072674
78	2573	2.073480
79	2580	2.079121
80	2581	2.079927
81	2572	2.072674
82	2581	2.079927
83	2573	2.073480
84	2581	2.079927
85	2580	2.079121
86	2572	2.072674
87	2573	2.073480
88	2565	2.067033
89	2580	2.079121
90	2573	2.073480
91	2573	2.073480
92	2565	2.067033
93	2572	2.072674
94	2573	2.073480
95	2580	2.079121
96	2565	2.067033
97	2580	2.079121
98	2573	2.073480
99	2580	2.079121
100	2580	2.079121
101	2573	2.073480
102	2573	2.073480
103	2572	2.072674
104	2581	2.079927
105	2588	2.085568
106	2573	2.073480
107	2588	2.085568
108	2588	2.085568
109	2580	2.079121
110	2588	2.085568
111	2580	2.079121
112	2581	2.079927
113	2588	2.085568
