Pixel	ADC	VoltageV
1	3942	3.176703
2	3938	3.173480
3	3938	3.173480
4	3926	3.163810
5	3938	3.173480
6	3938	3.173480
7	3926	3.163810
8	3926	3.163810
9	3926	3.163810
10	3926	3.163810
11	3926	3.163810
12	3926	3.163810
13	3926	3.163810
14	3926	3.163810
15	3926	3.163810
16	3922	3.160586
17	2710	2.183883
18	1734	1.397363
19	1746	1.407033
20	1746	1.407033
21	1766	1.423150
22	1766	1.423150
23	1750	1.410256
24	1760	1.418315
25	1766	1.423150
26	1758	1.416703
27	1750	1.410256
28	1762	1.419927
29	1782	1.436044
30	1782	1.436044
31	1766	1.423150
32	1766	1.423150
33	1766	1.423150
34	1766	1.423150
35	1762	1.419927
36	1750	1.410256
37	1762	1.419927
38	1762	1.419927
39	1766	1.423150
40	1750	1.410256
41	1762	1.419927
42	1766	1.423150
43	1766	1.423150
44	1750	1.410256
45	1762	1.419927
46	1766	1.423150
47	1766	1.423150
48	1762	1.419927
49	1774	1.429597
50	1766	1.423150
51	1762	1.419927
52	1766	1.423150
53	1774	1.429597
54	1766	1.423150
55	1750	1.410256
56	1762	1.419927
57	1767	1.423956
58	1762	1.419927
59	1766	1.423150
60	1762	1.419927
61	1766	1.423150
62	1778	1.432821
63	1766	1.423150
64	1751	1.411062
65	1766	1.423150
66	1762	1.419927
67	1762	1.419927
68	1762	1.419927
69	1750	1.410256
70	1766	1.423150
71	1762	1.419927
72	1766	1.423150
73	1774	1.429597
74	1774	1.429597
75	1782	1.436044
76	1762	1.419927
77	1766	1.423150
78	1766	1.423150
79	1766	1.423150
80	1767	1.423956
81	1766	1.423150
82	1766	1.423150
83	1767	1.423956
84	1762	1.419927
85	1750	1.410256
86	1750	1.410256
87	1774	1.429597
88	1762	1.419927
89	1762	1.419927
90	1750	1.410256
91	1766	1.423150
92	1751	1.411062
93	1750	1.410256
94	1760	1.418315
95	1766	1.423150
96	1762	1.419927
97	1758	1.416703
98	1778	1.432821
99	1774	1.429597
100	1774	1.429597
101	1762	1.419927
102	1766	1.423150
103	1774	1.429597
104	1774	1.429597
105	1750	1.410256
106	1751	1.411062
107	1774	1.429597
108	1766	1.423150
109	1762	1.419927
110	1762	1.419927
111	1762	1.419927
112	1762	1.419927
113	1762	1.419927
114	1766	1.423150
115	1762	1.419927
116	1766	1.423150
117	1778	1.432821
118	1766	1.423150
119	1774	1.429597
120	1766	1.423150
121	1774	1.429597
122	1782	1.436044
123	1762	1.419927
124	1766	1.423150
125	1766	1.423150
126	1766	1.423150
127	1766	1.423150
128	1766	1.423150
129	1774	1.429597
130	1762	1.419927
131	1766	1.423150
132	1774	1.429597
133	1766	1.423150
134	1766	1.423150
135	1760	1.418315
136	1766	1.423150
137	1750	1.410256
138	1762	1.419927
139	1766	1.423150
140	1762	1.419927
141	1767	1.423956
142	1778	1.432821
143	1766	1.423150
144	1774	1.429597
145	1766	1.423150
146	1774	1.429597
147	1794	1.445714
148	1766	1.423150
149	1750	1.410256
150	1766	1.423150
151	1778	1.432821
152	1790	1.442491
153	1766	1.423150
154	1767	1.423956
155	1782	1.436044
156	1766	1.423150
157	1766	1.423150
158	1766	1.423150
159	1766	1.423150
160	1750	1.410256
161	1766	1.423150
162	1766	1.423150
163	1762	1.419927
164	1782	1.436044
165	1774	1.429597
166	1774	1.429597
167	1774	1.429597
168	1782	1.436044
169	1782	1.436044
170	1774	1.429597
171	1783	1.436850
172	1766	1.423150
173	1766	1.423150
174	1766	1.423150
175	1766	1.423150
176	1766	1.423150
177	1782	1.436044
178	1766	1.423150
179	1767	1.423956
180	1774	1.429597
181	1774	1.429597
182	1774	1.429597
183	1766	1.423150
184	1782	1.436044
185	1782	1.436044
186	1762	1.419927
187	1766	1.423150
188	1766	1.423150
189	1782	1.436044
190	1782	1.436044
191	1766	1.423150
192	1774	1.429597
193	1766	1.423150
194	1774	1.429597
195	1766	1.423150
196	1766	1.423150
197	1766	1.423150
198	1762	1.419927
199	1774	1.429597
200	1774	1.429597
201	1774	1.429597
202	1774	1.429597
203	1762	1.419927
204	1774	1.429597
205	1774	1.429597
206	1774	1.429597
207	1762	1.419927
208	1766	1.423150
209	1766	1.423150
210	1782	1.436044
211	1766	1.423150
212	1766	1.423150
213	1774	1.429597
214	1766	1.423150
215	1782	1.436044
216	1767	1.423956
217	1766	1.423150
218	1766	1.423150
219	1766	1.423150
220	1766	1.423150
221	1782	1.436044
222	1778	1.432821
223	1782	1.436044
224	1750	1.410256
225	1778	1.432821
226	1762	1.419927
227	1762	1.419927
228	1774	1.429597
229	1778	1.432821
230	1782	1.436044
231	1774	1.429597
232	1774	1.429597
233	1766	1.423150
234	1778	1.432821
235	1760	1.418315
236	1762	1.419927
237	1774	1.429597
238	1766	1.423150
239	1782	1.436044
240	1782	1.436044
241	1774	1.429597
242	1762	1.419927
243	1762	1.419927
244	1766	1.423150
245	1766	1.423150
246	1762	1.419927
247	1774	1.429597
248	1766	1.423150
249	1766	1.423150
250	1766	1.423150
251	1774	1.429597
252	1792	1.444103
253	1767	1.423956
254	1782	1.436044
255	1774	1.429597
256	1774	1.429597
257	1774	1.429597
258	1778	1.432821
259	1767	1.423956
260	1778	1.432821
261	1766	1.423150
262	1766	1.423150
263	1782	1.436044
264	1782	1.436044
265	1767	1.423956
266	1766	1.423150
267	1762	1.419927
268	1790	1.442491
269	1782	1.436044
270	1750	1.410256
271	1762	1.419927
272	1798	1.448938
273	1782	1.436044
274	1782	1.436044
275	1762	1.419927
276	1766	1.423150
277	1774	1.429597
278	1774	1.429597
279	1767	1.423956
280	1774	1.429597
281	1778	1.432821
282	1767	1.423956
283	1766	1.423150
284	1766	1.423150
285	1766	1.423150
286	1778	1.432821
287	1766	1.423150
288	1766	1.423150
289	1774	1.429597
290	1766	1.423150
291	1762	1.419927
292	1766	1.423150
293	1766	1.423150
294	1766	1.423150
295	1766	1.423150
296	1778	1.432821
297	1778	1.432821
298	1778	1.432821
299	1774	1.429597
300	1766	1.423150
301	1782	1.436044
302	1794	1.445714
303	1782	1.436044
304	1774	1.429597
305	1767	1.423956
306	1774	1.429597
307	1782	1.436044
308	1794	1.445714
309	1794	1.445714
310	1778	1.432821
311	1782	1.436044
312	1794	1.445714
313	1766	1.423150
314	1782	1.436044
315	1778	1.432821
316	1778	1.432821
317	1778	1.432821
318	1766	1.423150
319	1778	1.432821
320	1778	1.432821
321	1783	1.436850
322	1778	1.432821
323	1783	1.436850
324	1774	1.429597
325	1794	1.445714
326	1782	1.436044
327	1794	1.445714
328	1778	1.432821
329	1790	1.442491
330	1782	1.436044
331	1783	1.436850
332	1782	1.436044
333	1798	1.448938
334	1783	1.436850
335	1778	1.432821
336	1798	1.448938
337	1792	1.444103
338	1782	1.436044
339	1778	1.432821
340	1790	1.442491
341	1782	1.436044
342	1798	1.448938
343	1798	1.448938
344	1778	1.432821
345	1782	1.436044
346	1792	1.444103
347	1798	1.448938
348	1794	1.445714
349	1798	1.448938
350	1798	1.448938
351	1792	1.444103
352	1782	1.436044
353	1782	1.436044
354	1794	1.445714
355	1792	1.444103
356	1782	1.436044
357	1766	1.423150
358	1782	1.436044
359	1798	1.448938
360	1790	1.442491
361	1782	1.436044
362	1778	1.432821
363	1782	1.436044
364	1798	1.448938
365	1794	1.445714
366	1783	1.436850
367	1782	1.436044
368	1782	1.436044
369	1783	1.436850
370	1783	1.436850
371	1794	1.445714
372	1778	1.432821
373	1774	1.429597
374	1806	1.455385
375	1794	1.445714
376	1794	1.445714
377	1798	1.448938
378	1794	1.445714
379	1792	1.444103
380	1782	1.436044
381	1767	1.423956
382	1778	1.432821
383	1782	1.436044
384	1794	1.445714
385	1778	1.432821
386	1782	1.436044
387	1794	1.445714
388	1794	1.445714
389	1790	1.442491
390	1782	1.436044
391	1782	1.436044
392	1794	1.445714
393	1794	1.445714
394	1778	1.432821
395	1798	1.448938
396	1794	1.445714
397	1794	1.445714
398	1798	1.448938
399	1782	1.436044
400	1766	1.423150
401	1794	1.445714
402	1782	1.436044
403	1798	1.448938
404	1798	1.448938
405	1794	1.445714
406	1782	1.436044
407	1792	1.444103
408	1794	1.445714
409	1782	1.436044
410	1782	1.436044
411	1782	1.436044
412	1794	1.445714
413	1798	1.448938
414	1778	1.432821
415	1778	1.432821
416	1798	1.448938
417	1783	1.436850
418	1766	1.423150
419	1806	1.455385
420	1798	1.448938
421	1782	1.436044
422	1782	1.436044
423	1798	1.448938
424	1794	1.445714
425	1798	1.448938
426	1782	1.436044
427	1782	1.436044
428	1783	1.436850
429	1794	1.445714
430	1790	1.442491
431	1794	1.445714
432	1794	1.445714
433	1782	1.436044
434	1782	1.436044
435	1794	1.445714
436	1798	1.448938
437	1782	1.436044
438	1782	1.436044
439	1798	1.448938
440	1794	1.445714
441	1786	1.439267
442	1782	1.436044
443	1798	1.448938
444	1778	1.432821
445	1792	1.444103
446	1798	1.448938
447	1794	1.445714
448	1782	1.436044
449	1782	1.436044
450	1798	1.448938
451	1790	1.442491
452	1794	1.445714
453	1782	1.436044
454	1810	1.458608
455	1778	1.432821
456	1782	1.436044
457	1782	1.436044
458	1794	1.445714
459	1782	1.436044
460	1782	1.436044
461	1798	1.448938
462	1794	1.445714
463	1782	1.436044
464	1794	1.445714
465	1794	1.445714
466	1794	1.445714
467	1782	1.436044
468	1782	1.436044
469	1798	1.448938
470	1798	1.448938
471	1790	1.442491
472	1766	1.423150
473	1794	1.445714
474	1798	1.448938
475	1794	1.445714
476	1792	1.444103
477	1782	1.436044
478	1782	1.436044
479	1794	1.445714
480	1798	1.448938
481	1782	1.436044
482	1783	1.436850
483	1782	1.436044
484	1794	1.445714
485	1794	1.445714
486	1782	1.436044
487	1794	1.445714
488	1782	1.436044
489	1778	1.432821
490	1782	1.436044
491	1794	1.445714
492	1783	1.436850
493	1799	1.449744
494	1766	1.423150
495	1774	1.429597
496	1794	1.445714
497	1782	1.436044
498	1778	1.432821
499	1762	1.419927
500	1767	1.423956
501	1774	1.429597
502	1774	1.429597
503	1766	1.423150
504	1782	1.436044
505	1782	1.436044
506	1750	1.410256
507	1782	1.436044
508	1782	1.436044
509	1794	1.445714
510	1766	1.423150
511	1750	1.410256
512	1782	1.436044
513	1798	1.448938
514	1782	1.436044
515	1766	1.423150
516	1778	1.432821
517	1782	1.436044
518	1762	1.419927
519	1766	1.423150
520	1778	1.432821
521	1778	1.432821
522	1774	1.429597
523	1767	1.423956
524	1782	1.436044
525	1774	1.429597
526	1774	1.429597
527	1774	1.429597
528	1766	1.423150
529	1782	1.436044
530	1766	1.423150
531	1766	1.423150
532	1766	1.423150
533	1766	1.423150
534	1766	1.423150
535	1766	1.423150
536	1758	1.416703
537	1762	1.419927
538	1762	1.419927
539	1750	1.410256
540	1766	1.423150
541	1778	1.432821
542	1762	1.419927
543	1750	1.410256
544	1750	1.410256
545	1762	1.419927
546	1774	1.429597
547	1774	1.429597
548	1762	1.419927
549	1766	1.423150
