色卡,归一化峰值像素,归一化曲线面积,参考校正峰值像素,参考校正最大值,参考校正中位数,低像素段均值_350_900,中像素段均值_1200_2200,高像素段均值_2600_3500,高低段比值_2600_3500除350_900
1,3407,2728.318172700098,3399,0.7418684996877121,0.6124827117405606,0.6076036653972396,0.49866114847067694,0.7094370393453197,1.1675983535772505
2,3404,2806.3216720279024,3393,0.7382114298909448,0.6231464103124538,0.6179051825275843,0.5309899318924012,0.7092273797190652,1.1477932209888921
3,3406,2731.272370381401,3395,0.7095624886465384,0.5835987702770284,0.5783101540317326,0.4795832942865347,0.6806829945501828,1.1770206519888164
4,3400,2736.475153378754,3394,0.6669927564564798,0.5444864540758936,0.5387327782831308,0.4540348227264007,0.6417740668869454,1.1912660464659184
6,3406,2743.563108120534,3400,0.692535490189605,0.5696145366350658,0.5639708868635901,0.47308862273631125,0.665580496544087,1.180168182520162
7,3405,2753.4493714326563,3399,0.7011062021615937,0.5776321024461778,0.57144893782706,0.48503495664393576,0.6736783567141648,1.1788951070166185
8,3407,2699.311893967271,3402,0.669290125884845,0.5404943401880339,0.5346873806050514,0.4420752049454123,0.6429151385449332,1.2024131518073449
