Pixel,ADC,VoltageV
1,3941,3.175897
2,3941,3.175897
3,3941,3.175897
4,3933,3.169451
5,3933,3.169451
6,3933,3.169451
7,3933,3.169451
8,3933,3.169451
9,3933,3.169451
10,3937,3.172674
11,3933,3.169451
12,3933,3.169451
13,3933,3.169451
14,3941,3.175897
15,3933,3.169451
16,3933,3.169451
17,3345,2.695604
18,2893,2.331355
19,2905,2.341026
20,2913,2.347473
21,2921,2.353919
22,2929,2.360366
23,2917,2.350696
24,2928,2.359560
25,2921,2.353919
26,2929,2.360366
27,2917,2.350696
28,2928,2.359560
29,2937,2.366813
30,2928,2.359560
31,2917,2.350696
32,2929,2.360366
33,2921,2.353919
34,2929,2.360366
35,2921,2.353919
36,2921,2.353919
37,2933,2.363590
38,2933,2.363590
39,2928,2.359560
40,2929,2.360366
41,2929,2.360366
42,2929,2.360366
43,2941,2.370037
44,2929,2.360366
45,2929,2.360366
46,2921,2.353919
47,2937,2.366813
48,2929,2.360366
49,2929,2.360366
50,2933,2.363590
51,2933,2.363590
52,2929,2.360366
53,2933,2.363590
54,2929,2.360366
55,2937,2.366813
56,2921,2.353919
57,2937,2.366813
58,2928,2.359560
59,2929,2.360366
60,2941,2.370037
61,2921,2.353919
62,2929,2.360366
63,2933,2.363590
64,2921,2.353919
65,2917,2.350696
66,2929,2.360366
67,2928,2.359560
68,2921,2.353919
69,2929,2.360366
70,2921,2.353919
71,2933,2.363590
72,2921,2.353919
73,2909,2.344249
74,2921,2.353919
75,2921,2.353919
76,2928,2.359560
77,2921,2.353919
78,2913,2.347473
79,2913,2.347473
80,2929,2.360366
81,2933,2.363590
82,2921,2.353919
83,2929,2.360366
84,2921,2.353919
85,2928,2.359560
86,2941,2.370037
87,2921,2.353919
88,2937,2.366813
89,2928,2.359560
90,2921,2.353919
91,2929,2.360366
92,2933,2.363590
93,2941,2.370037
94,2929,2.360366
95,2941,2.370037
96,2928,2.359560
97,2929,2.360366
98,2917,2.350696
99,2928,2.359560
100,2928,2.359560
101,2933,2.363590
102,2933,2.363590
103,2929,2.360366
104,2929,2.360366
105,2933,2.363590
106,2929,2.360366
107,2929,2.360366
108,2921,2.353919
109,2929,2.360366
110,2917,2.350696
111,2917,2.350696
112,2913,2.347473
113,2928,2.359560
114,2928,2.359560
115,2921,2.353919
116,2909,2.344249
117,2917,2.350696
118,2921,2.353919
119,2929,2.360366
120,2921,2.353919
121,2921,2.353919
122,2917,2.350696
123,2921,2.353919
124,2921,2.353919
125,2921,2.353919
126,2909,2.344249
127,2928,2.359560
128,2928,2.359560
129,2921,2.353919
130,2933,2.363590
131,2921,2.353919
132,2921,2.353919
133,2921,2.353919
134,2917,2.350696
135,2928,2.359560
136,2933,2.363590
137,2917,2.350696
138,2941,2.370037
139,2909,2.344249
140,2933,2.363590
141,2933,2.363590
142,2929,2.360366
143,2929,2.360366
144,2929,2.360366
145,2929,2.360366
146,2917,2.350696
147,2929,2.360366
148,2933,2.363590
149,2937,2.366813
150,2929,2.360366
151,2941,2.370037
152,2929,2.360366
153,2941,2.370037
154,2928,2.359560
155,2937,2.366813
156,2941,2.370037
157,2917,2.350696
158,2933,2.363590
159,2929,2.360366
160,2921,2.353919
161,2917,2.350696
162,2937,2.366813
163,2937,2.366813
164,2933,2.363590
165,2937,2.366813
166,2929,2.360366
167,2921,2.353919
168,2929,2.360366
169,2937,2.366813
170,2921,2.353919
171,2937,2.366813
172,2928,2.359560
173,2933,2.363590
174,2929,2.360366
175,2933,2.363590
176,2937,2.366813
177,2933,2.363590
178,2937,2.366813
179,2929,2.360366
180,2928,2.359560
181,2941,2.370037
182,2937,2.366813
183,2937,2.366813
184,2941,2.370037
185,2937,2.366813
186,2933,2.363590
187,2929,2.360366
188,2929,2.360366
189,2929,2.360366
190,2928,2.359560
191,2921,2.353919
192,2937,2.366813
193,2917,2.350696
194,2917,2.350696
195,2929,2.360366
196,2928,2.359560
197,2928,2.359560
198,2928,2.359560
199,2921,2.353919
200,2928,2.359560
201,2937,2.366813
202,2928,2.359560
203,2933,2.363590
204,2928,2.359560
205,2929,2.360366
206,2921,2.353919
207,2929,2.360366
208,2928,2.359560
209,2937,2.366813
210,2929,2.360366
211,2933,2.363590
212,2917,2.350696
213,2917,2.350696
214,2928,2.359560
215,2929,2.360366
216,2917,2.350696
217,2921,2.353919
218,2929,2.360366
219,2933,2.363590
220,2928,2.359560
221,2917,2.350696
222,2929,2.360366
223,2929,2.360366
224,2933,2.363590
225,2928,2.359560
226,2929,2.360366
227,2929,2.360366
228,2921,2.353919
229,2941,2.370037
230,2928,2.359560
231,2929,2.360366
232,2929,2.360366
233,2941,2.370037
234,2941,2.370037
235,2937,2.366813
236,2941,2.370037
237,2945,2.373260
238,2941,2.370037
239,2949,2.376484
240,2937,2.366813
241,2933,2.363590
242,2933,2.363590
243,2953,2.379707
244,2937,2.366813
245,2945,2.373260
246,2933,2.363590
247,2943,2.371648
248,2933,2.363590
249,2929,2.360366
250,2928,2.359560
251,2929,2.360366
252,2937,2.366813
253,2929,2.360366
254,2933,2.363590
255,2937,2.366813
256,2933,2.363590
257,2937,2.366813
258,2933,2.363590
259,2928,2.359560
260,2928,2.359560
261,2937,2.366813
262,2913,2.347473
263,2929,2.360366
264,2933,2.363590
265,2941,2.370037
266,2933,2.363590
267,2921,2.353919
268,2933,2.363590
269,2933,2.363590
270,2937,2.366813
271,2941,2.370037
272,2929,2.360366
273,2937,2.366813
274,2933,2.363590
275,2929,2.360366
276,2937,2.366813
277,2937,2.366813
278,2928,2.359560
279,2929,2.360366
280,2928,2.359560
281,2928,2.359560
282,2937,2.366813
283,2941,2.370037
284,2929,2.360366
285,2937,2.366813
286,2929,2.360366
287,2929,2.360366
288,2933,2.363590
289,2929,2.360366
290,2928,2.359560
291,2941,2.370037
292,2933,2.363590
293,2929,2.360366
294,2941,2.370037
295,2933,2.363590
296,2937,2.366813
297,2929,2.360366
298,2933,2.363590
299,2937,2.366813
300,2929,2.360366
301,2928,2.359560
302,2933,2.363590
303,2929,2.360366
304,2929,2.360366
305,2949,2.376484
306,2929,2.360366
307,2941,2.370037
308,2937,2.366813
309,2933,2.363590
310,2953,2.379707
311,2929,2.360366
312,2941,2.370037
313,2933,2.363590
314,2937,2.366813
315,2937,2.366813
316,2937,2.366813
317,2929,2.360366
318,2933,2.363590
319,2933,2.363590
320,2941,2.370037
321,2929,2.360366
322,2921,2.353919
323,2941,2.370037
324,2921,2.353919
325,2921,2.353919
326,2929,2.360366
327,2937,2.366813
328,2949,2.376484
329,2937,2.366813
330,2929,2.360366
331,2949,2.376484
332,2941,2.370037
333,2953,2.379707
334,2945,2.373260
335,2941,2.370037
336,2937,2.366813
337,2953,2.379707
338,2949,2.376484
339,2941,2.370037
340,2949,2.376484
