Pixel,ADC,VoltageV
1,3958,3.189597
2,3958,3.189597
3,3958,3.189597
4,3950,3.183150
5,3950,3.183150
6,3950,3.183150
7,3958,3.189597
8,3942,3.176703
9,3942,3.176703
10,3958,3.189597
11,3958,3.189597
12,3942,3.176703
13,3958,3.189597
14,3958,3.189597
15,3950,3.183150
16,3942,3.176703
17,3394,2.735092
18,2966,2.390183
19,2982,2.403077
20,2990,2.409524
21,2990,2.409524
22,2982,2.403077
23,2982,2.403077
24,2982,2.403077
25,2998,2.415971
26,2990,2.409524
27,2982,2.403077
28,2998,2.415971
29,2998,2.415971
30,2990,2.409524
31,2998,2.415971
32,2998,2.415971
33,2990,2.409524
34,2998,2.415971
35,2990,2.409524
36,2998,2.415971
37,2998,2.415971
38,2998,2.415971
39,2998,2.415971
40,3014,2.428864
41,2998,2.415971
42,2994,2.412747
43,3014,2.428864
44,2990,2.409524
45,2998,2.415971
46,2998,2.415971
47,2998,2.415971
48,2998,2.415971
49,2998,2.415971
50,3010,2.425641
51,2998,2.415971
52,3010,2.425641
53,3010,2.425641
54,3010,2.425641
55,2994,2.412747
56,2998,2.415971
57,3010,2.425641
58,2994,2.412747
59,2982,2.403077
60,2994,2.412747
61,3010,2.425641
62,2982,2.403077
63,3010,2.425641
64,2998,2.415971
65,3010,2.425641
66,2998,2.415971
67,2998,2.415971
68,2998,2.415971
69,2982,2.403077
70,2998,2.415971
71,2998,2.415971
72,2998,2.415971
73,2990,2.409524
74,2990,2.409524
75,2998,2.415971
76,2994,2.412747
77,2990,2.409524
78,2998,2.415971
79,2982,2.403077
80,2994,2.412747
81,2998,2.415971
82,2998,2.415971
83,2998,2.415971
84,2998,2.415971
85,2990,2.409524
86,3010,2.425641
87,2998,2.415971
88,2998,2.415971
89,2998,2.415971
90,2998,2.415971
91,3010,2.425641
92,3014,2.428864
93,2998,2.415971
94,2998,2.415971
95,2998,2.415971
96,2998,2.415971
97,2998,2.415971
98,2998,2.415971
99,2998,2.415971
100,3014,2.428864
101,3010,2.425641
102,2998,2.415971
103,2998,2.415971
104,3010,2.425641
105,3010,2.425641
106,2990,2.409524
107,2990,2.409524
108,2998,2.415971
109,2998,2.415971
110,2998,2.415971
111,2998,2.415971
112,2998,2.415971
113,2982,2.403077
114,3010,2.425641
115,2998,2.415971
116,2998,2.415971
117,2982,2.403077
118,2994,2.412747
119,2998,2.415971
120,2998,2.415971
121,2982,2.403077
122,2982,2.403077
123,2982,2.403077
124,2982,2.403077
125,2998,2.415971
126,2998,2.415971
127,2998,2.415971
128,2990,2.409524
129,2998,2.415971
130,2994,2.412747
131,2990,2.409524
132,2994,2.412747
133,2998,2.415971
134,3014,2.428864
135,2982,2.403077
136,3010,2.425641
137,2998,2.415971
138,2998,2.415971
139,2998,2.415971
140,2998,2.415971
141,2998,2.415971
142,2998,2.415971
