Pixel,RawADC,RawVoltageV,DarkADC,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
21,2645.0,2.131502,3933.0,1288.0,1289.2311937175496,0.7347404449515117,0.7514480851795585
22,2637.0,2.125055,3933.0,1296.0,1289.3278664237002,0.7393040501996577,0.7515044323423328
23,2637.0,2.125055,3933.0,1296.0,1289.4186608729524,0.7393040501996577,0.7515573532733247
24,2639.0,2.126667,3933.0,1294.0,1289.5036380701963,0.7381631488876212,0.7516068835301662
25,2636.0,2.124249,3933.0,1297.0,1289.5828590203212,0.739874500855676,0.7516530586704883
26,2629.0,2.118608,3933.0,1304.0,1289.6659938698876,0.7438676554478038,0.751701515086857
27,2637.0,2.125055,3933.0,1296.0,1289.742845215786,0.7393040501996577,0.7517463090671767
28,2637.0,2.125055,3933.0,1296.0,1289.8134827778913,0.7393040501996577,0.7517874812487406
29,2645.0,2.131502,3933.0,1288.0,1289.8779762760773,0.7347404449515117,0.7518250722688421
30,2637.0,2.125055,3933.0,1296.0,1289.936395430218,0.7393040501996577,0.7518591227647738
31,2652.0,2.137143,3933.0,1281.0,1289.9888099601885,0.7307472903593839,0.7518896733738298
32,2637.0,2.125055,3933.0,1296.0,1290.0352895858628,0.7393040501996577,0.7519167647333027
33,2636.0,2.124249,3933.0,1297.0,1290.0759040271146,0.739874500855676,0.7519404374804858
34,2637.0,2.125055,3933.0,1296.0,1290.1011138621482,0.7393040501996577,0.7519551314177376
35,2637.0,2.125055,3933.0,1296.0,1290.1212472188379,0.7393040501996577,0.7519668664520794
36,2637.0,2.125055,3933.0,1296.0,1290.1363651020727,0.7393040501996577,0.751975678141142
37,2637.0,2.125055,3933.0,1296.0,1290.1561376584132,0.7393040501996577,0.7519872028774914
38,2653.0,2.137949,3933.0,1280.0,1290.1703674847495,0.7301768397033657,0.7519954969490319
39,2637.0,2.125055,3933.0,1296.0,1290.1791243009566,0.7393040501996577,0.7520006009930569
40,2653.0,2.137949,3933.0,1280.0,1290.1824778269088,0.7301768397033657,0.7520025556468596
41,2637.0,2.125055,3933.0,1296.0,1290.1708886408094,0.7393040501996577,0.7519958007127984
42,2637.0,2.125055,3933.0,1296.0,1290.1642940122033,0.7393040501996577,0.7519919569328288
43,2652.0,2.137143,3933.0,1281.0,1290.15249653798,0.7307472903593839,0.7519850805948545
44,2637.0,2.125055,3933.0,1296.0,1290.1355659380142,0.7393040501996577,0.7519752123361689
45,2645.0,2.131502,3933.0,1288.0,1290.1135719321805,0.7347404449515117,0.7519623927940653
46,2637.0,2.125055,3933.0,1296.0,1290.0769750986826,0.7393040501996577,0.7519410617709023
47,2653.0,2.137949,3933.0,1280.0,1290.0361035653946,0.7301768397033657,0.7519172391737007
48,2639.0,2.126667,3933.0,1294.0,1289.9910183372058,0.7381631488876212,0.7518909605600917
49,2637.0,2.125055,3933.0,1296.0,1289.9417804190064,0.7393040501996577,0.751862261487707
50,2652.0,2.137143,3933.0,1281.0,1289.8884508156862,0.7307472903593839,0.7518311775141779
51,2652.0,2.137143,3933.0,1281.0,1289.792653965456,0.7307472903593839,0.7517753408573995
52,2645.0,2.131502,3933.0,1288.0,1289.695484505201,0.7347404449515117,0.7517187041539111
53,2652.0,2.137143,3933.0,1281.0,1289.5969685798743,0.7307472903593839,0.7516612826426979
54,2637.0,2.125055,3933.0,1296.0,1289.4971323344291,0.7393040501996577,0.7516030915627451
55,2652.0,2.137143,3933.0,1281.0,1289.3671744888081,0.7307472903593839,0.7515273436482346
56,2652.0,2.137143,3933.0,1281.0,1289.1802415619416,0.7307472903593839,0.7514183869377272
57,2653.0,2.137949,3933.0,1280.0,1288.9978840018239,0.7301768397033657,0.751312097049586
58,2664.0,2.146813,3933.0,1269.0,1288.8200495185483,0.7239018824871648,0.7512084435058403
59,2653.0,2.137949,3933.0,1280.0,1288.7716046639182,0.7301768397033657,0.7511802066826654
60,2660.0,2.14359,3933.0,1273.0,1288.7191378440425,0.7261836851112379,0.7511496255956399
61,2652.0,2.137143,3933.0,1281.0,1288.518572938761,0.7307472903593839,0.751032723278381
62,2652.0,2.137143,3933.0,1281.0,1288.323847072949,0.7307472903593839,0.7509192243344271
63,2660.0,2.14359,3933.0,1273.0,1288.1348905267323,0.7261836851112379,0.7508090881264851
64,2652.0,2.137143,3933.0,1281.0,1287.9516335802361,0.7307472903593839,0.7507022740172613
65,2637.0,2.125055,3933.0,1296.0,1287.7740065135865,0.7393040501996577,0.7505987413694629
66,2652.0,2.137143,3933.0,1281.0,1287.6019396069094,0.7307472903593839,0.7504984495457966
67,2661.0,2.144396,3933.0,1272.0,1287.4353631403299,0.7256132344552196,0.7504013579089691
68,2639.0,2.126667,3933.0,1294.0,1287.2742073939742,0.7381631488876212,0.7503074258216873
69,2637.0,2.125055,3933.0,1296.0,1287.118402647968,0.7393040501996577,0.7502166126466581
70,2653.0,2.137949,3933.0,1280.0,1286.9678791824372,0.7301768397033657,0.7501288777465882
71,2653.0,2.137949,3933.0,1280.0,1286.8417855608473,0.7301768397033657,0.7500553821540531
72,2653.0,2.137949,3933.0,1280.0,1286.8444540890346,0.7301768397033657,0.75005693754645
73,2653.0,2.137949,3933.0,1280.0,1286.852082314777,0.7301768397033657,0.7500613837742913
74,2637.0,2.125055,3933.0,1296.0,1286.8544728349657,0.7393040501996577,0.7500627771254817
75,2637.0,2.125055,3933.0,1296.0,1286.8516953694748,0.7393040501996577,0.7500611582373141
76,2645.0,2.131502,3933.0,1288.0,1286.8438196381785,0.7347404449515117,0.7500565677470818
77,2639.0,2.126667,3933.0,1294.0,1286.8309153609516,0.7381631488876212,0.7500490462920782
78,2637.0,2.125055,3933.0,1296.0,1286.8130522576676,0.7393040501996577,0.7500386345095961
79,2652.0,2.137143,3933.0,1281.0,1286.790300048201,0.7307472903593839,0.7500253730369288
80,2645.0,2.131502,3933.0,1288.0,1286.762728452427,0.7347404449515117,0.7500093025113701
81,2637.0,2.125055,3933.0,1296.0,1286.730407190218,0.7393040501996577,0.7499904635702122
82,2637.0,2.125055,3933.0,1296.0,1286.6934059814494,0.7393040501996577,0.7499688968507485
83,2636.0,2.124249,3933.0,1297.0,1286.6421854043258,0.739874500855676,0.7499390421553388
84,2639.0,2.126667,3933.0,1294.0,1286.5870735867202,0.7381631488876212,0.7499069193910026
85,2652.0,2.137143,3933.0,1281.0,1286.5281315335221,0.7307472903593839,0.7498725641153717
86,2637.0,2.125055,3933.0,1296.0,1286.465420249622,0.7393040501996577,0.7498360118860775
87,2645.0,2.131502,3933.0,1288.0,1286.4086098815797,0.7347404449515117,0.7498028990956861
88,2637.0,2.125055,3933.0,1296.0,1286.3475030262857,0.7393040501996577,0.7497672820321014
89,2637.0,2.125055,3933.0,1296.0,1286.2821694036147,0.7393040501996577,0.7497292013326169
90,2637.0,2.125055,3933.0,1296.0,1286.2126787334414,0.7393040501996577,0.7496886976345261
91,2652.0,2.137143,3933.0,1281.0,1286.1391007356392,0.7307472903593839,0.7496458115751217
92,2661.0,2.144396,3933.0,1272.0,1286.0615051300829,0.7256132344552196,0.7496005837916971
93,2652.0,2.137143,3933.0,1281.0,1285.9799616366467,0.7307472903593839,0.7495530549215457
94,2628.0,2.117802,3933.0,1305.0,1285.8945399752047,0.744438106103822,0.7495032656019602
95,2637.0,2.125055,3933.0,1296.0,1285.805309865631,0.7393040501996577,0.749451256470234
96,2637.0,2.125055,3933.0,1296.0,1285.7123410278004,0.7393040501996577,0.7493970681636607
97,2637.0,2.125055,3933.0,1296.0,1285.6060940399166,0.7393040501996577,0.7493351404845986
98,2652.0,2.137143,3933.0,1281.0,1285.5584997677531,0.7307472903593839,0.749307399436401
99,2653.0,2.137949,3933.0,1280.0,1285.5325509020518,0.7301768397033657,0.7492922747438409
100,2652.0,2.137143,3933.0,1281.0,1285.5091598842373,0.7307472903593839,0.7492786409319747
101,2653.0,2.137949,3933.0,1280.0,1285.4884574390744,0.7301768397033657,0.7492665741957276
102,2660.0,2.14359,3933.0,1273.0,1285.4705742913266,0.7261836851112379,0.7492561507300237
103,2652.0,2.137143,3933.0,1281.0,1285.4556411657586,0.7307472903593839,0.7492474467297882
104,2660.0,2.14359,3933.0,1273.0,1285.4437887871343,0.7261836851112379,0.7492405383899454
105,2653.0,2.137949,3933.0,1280.0,1285.4351478802182,0.7301768397033657,0.7492355019054204
106,2653.0,2.137949,3933.0,1280.0,1285.4394583114445,0.7301768397033657,0.7492380143060722
107,2652.0,2.137143,3933.0,1281.0,1285.4465923975777,0.7307472903593839,0.7492421725170978
108,2652.0,2.137143,3933.0,1281.0,1285.4566895783678,0.7307472903593839,0.7492480578130846
109,2652.0,2.137143,3933.0,1281.0,1285.4698892935621,0.7307472903593839,0.7492557514686182
110,2653.0,2.137949,3933.0,1280.0,1285.5535949745986,0.7301768397033657,0.7493045406028247
111,2653.0,2.137949,3933.0,1280.0,1285.6457463469037,0.7301768397033657,0.7493582524371356
112,2652.0,2.137143,3933.0,1281.0,1285.7362854471166,0.7307472903593839,0.7494110245340414
113,2652.0,2.137143,3933.0,1281.0,1285.8926854265494,0.7307472903593839,0.7495021846499613
114,2660.0,2.14359,3933.0,1273.0,1286.043346588832,0.7261836851112379,0.7495899998086853
115,2653.0,2.137949,3933.0,1280.0,1286.1885390984773,0.7301768397033657,0.7496746274797245
116,2653.0,2.137949,3933.0,1280.0,1286.2612691283089,0.7301768397033657,0.7497170192880505
117,2652.0,2.137143,3933.0,1281.0,1286.3336156988316,0.7307472903593839,0.7497591875912637
118,2645.0,2.131502,3933.0,1288.0,1286.3289148363097,0.7347404449515117,0.7497564476217702
119,2653.0,2.137949,3933.0,1280.0,1286.329442964357,0.7301768397033657,0.749756755449266
120,2652.0,2.137143,3933.0,1281.0,1286.314805276756,0.7307472903593839,0.7497482236495603
121,2653.0,2.137949,3933.0,1280.0,1286.324876312593,0.7301768397033657,0.749754093706562
122,2653.0,2.137949,3933.0,1280.0,1286.3200429823096,0.7301768397033657,0.7497512765262112
123,2652.0,2.137143,3933.0,1281.0,1286.258042841127,0.7307472903593839,0.7497151387973078
124,2660.0,2.14359,3933.0,1273.0,1286.1966004589385,0.7261836851112379,0.7496793261667497
125,2648.0,2.133919,3933.0,1285.0,1286.135785555618,0.733029092983457,0.7496438792718303
126,2652.0,2.137143,3933.0,1281.0,1286.0756678510406,0.7307472903593839,0.7496088387498431
127,2636.0,2.124249,3933.0,1297.0,1285.9348380625268,0.739874500855676,0.7495267539574252
128,2645.0,2.131502,3933.0,1288.0,1285.7908273047503,0.7347404449515117,0.7494428150885057
129,2636.0,2.124249,3933.0,1297.0,1285.6436355777107,0.739874500855676,0.7493570221430843
130,2639.0,2.126667,3933.0,1294.0,1285.4932628814076,0.7381631488876212,0.7492693751211608
131,2652.0,2.137143,3933.0,1281.0,1285.339709215842,0.7307472903593839,0.7491798740227358
132,2652.0,2.137143,3933.0,1281.0,1285.1829745810128,0.7307472903593839,0.7490885188478085
133,2652.0,2.137143,3933.0,1281.0,1285.0230589769203,0.7307472903593839,0.7489953095963793
134,2637.0,2.125055,3933.0,1296.0,1284.8599624035653,0.7393040501996577,0.7489002462684484
135,2637.0,2.125055,3933.0,1296.0,1284.6834177379635,0.7393040501996577,0.7487973445146268
136,2637.0,2.125055,3933.0,1296.0,1284.503025406801,0.7393040501996577,0.7486922000901871
137,2660.0,2.14359,3933.0,1273.0,1284.3187766950937,0.7261836851112379,0.7485848079154678
138,2652.0,2.137143,3933.0,1281.0,1284.1024934441607,0.7307472903593839,0.748458743920459
139,2637.0,2.125055,3933.0,1296.0,1283.8856001443273,0.7393040501996577,0.7483323243491344
140,2637.0,2.125055,3933.0,1296.0,1283.6680619356575,0.7393040501996577,0.7482055288828481
141,2637.0,2.125055,3933.0,1296.0,1283.4882805248933,0.7393040501996577,0.74810074054269
142,2637.0,2.125055,3933.0,1296.0,1283.3051874201017,0.7393040501996577,0.7479940219311053
143,2652.0,2.137143,3933.0,1281.0,1283.1187826212827,0.7307472903593839,0.7478853730480939
144,2637.0,2.125055,3933.0,1296.0,1282.9290661284365,0.7393040501996577,0.7477747938936561
145,2639.0,2.126667,3933.0,1294.0,1282.7353799602497,0.7381631488876212,0.7476619009533371
146,2653.0,2.137949,3933.0,1280.0,1282.5370661354086,0.7301768397033657,0.7475463107126823
147,2637.0,2.125055,3933.0,1296.0,1282.3341246539135,0.7393040501996577,0.7474280231716918
148,2669.0,2.150842,3933.0,1264.0,1282.2086924996302,0.7210496292070736,0.7473549131254755
149,2636.0,2.124249,3933.0,1297.0,1282.074357117404,0.739874500855676,0.7472766136969187
150,2653.0,2.137949,3933.0,1280.0,1281.9510557767785,0.7301768397033657,0.7472047456279761
151,2660.0,2.14359,3933.0,1273.0,1281.8189819329732,0.7261836851112379,0.7471277643716169
152,2653.0,2.137949,3933.0,1280.0,1281.6884637138633,0.7301768397033657,0.7470516898348627
153,2653.0,2.137949,3933.0,1280.0,1281.6211648622368,0.7301768397033657,0.7470124636716765
154,2653.0,2.137949,3933.0,1280.0,1281.5800780688364,0.7301768397033657,0.7469885156068319
155,2661.0,2.144396,3933.0,1272.0,1281.5461157750876,0.7256132344552196,0.7469687201653856
156,2652.0,2.137143,3933.0,1281.0,1281.4988744597872,0.7307472903593839,0.7469411848434846
157,2652.0,2.137143,3933.0,1281.0,1281.4576857010711,0.7307472903593839,0.7469171773465989
158,2637.0,2.125055,3933.0,1296.0,1281.3759330480123,0.7393040501996577,0.7468695265645678
159,2661.0,2.144396,3933.0,1272.0,1281.2858035520608,0.7256132344552196,0.7468169932117596
160,2639.0,2.126667,3933.0,1294.0,1281.2943660241183,0.7381631488876212,0.7468219839793298
161,2660.0,2.14359,3933.0,1273.0,1281.3106630447267,0.7261836851112379,0.7468314829466135
162,2637.0,2.125055,3933.0,1296.0,1281.3348253386498,0.7393040501996577,0.7468455663085354
163,2660.0,2.14359,3933.0,1273.0,1281.3669836306522,0.7261836851112379,0.7468643102600203
164,2653.0,2.137949,3933.0,1280.0,1281.396343541202,0.7301768397033657,0.74688142313215
165,2652.0,2.137143,3933.0,1281.0,1281.370375502535,0.7307472903593839,0.746866287264334
166,2653.0,2.137949,3933.0,1280.0,1281.4289410684119,0.7301768397033657,0.7469004230985817
167,2653.0,2.137949,3933.0,1280.0,1281.4953065452223,0.7301768397033657,0.7469391052300057
168,2668.0,2.150037,3933.0,1265.0,1281.569611372713,0.7216200798630918,0.7469824149331913
169,2637.0,2.125055,3933.0,1296.0,1281.6519949906342,0.7393040501996577,0.7470304334827258
170,2653.0,2.137949,3933.0,1280.0,1281.7425968387338,0.7301768397033657,0.7470832421531954
171,2653.0,2.137949,3933.0,1280.0,1281.6875495120116,0.7301768397033657,0.7470511569783554
172,2652.0,2.137143,3933.0,1281.0,1281.6213897088307,0.7307472903593839,0.7470125947269467
173,2637.0,2.125055,3933.0,1296.0,1281.554384552175,0.7393040501996577,0.7469735397483583
174,2652.0,2.137143,3933.0,1281.0,1281.486534042043,0.7307472903593839,0.7469339920425896
175,2653.0,2.137949,3933.0,1280.0,1281.4274473201062,0.7301768397033657,0.7468995524445754
176,2652.0,2.137143,3933.0,1281.0,1281.3668659783643,0.7307472903593839,0.746864241684588
177,2652.0,2.137143,3933.0,1281.0,1281.2945316088194,0.7307472903593839,0.746822080492901
178,2660.0,2.14359,3933.0,1273.0,1281.2200533531413,0.7261836851112379,0.7467786697044485
179,2645.0,2.131502,3933.0,1288.0,1281.1434312113292,0.7347404449515117,0.7467340093192301
180,2653.0,2.137949,3933.0,1280.0,1281.0646651833836,0.7301768397033657,0.7466880993372459
181,2637.0,2.125055,3933.0,1296.0,1280.9837552693048,0.7393040501996577,0.7466409397584963
182,2637.0,2.125055,3933.0,1296.0,1280.9007014690924,0.7393040501996577,0.746592530582981
183,2653.0,2.137949,3933.0,1280.0,1280.8155037827464,0.7301768397033657,0.7465428718107
184,2660.0,2.14359,3933.0,1273.0,1280.7281622102669,0.7261836851112379,0.7464919634416533
185,2653.0,2.137949,3933.0,1280.0,1280.7162078663264,0.7301768397033657,0.7464849956697692
186,2668.0,2.150037,3933.0,1265.0,1280.6982314682468,0.7216200798630918,0.7464745178516857
187,2669.0,2.150842,3933.0,1264.0,1280.6743027359023,0.7210496292070736,0.746460570624696
188,2668.0,2.150037,3933.0,1265.0,1280.634224266184,0.7216200798630918,0.7464372102767044
189,2669.0,2.150842,3933.0,1264.0,1280.5876662056517,0.7210496292070736,0.7464100732002769
190,2661.0,2.144396,3933.0,1272.0,1280.534689559195,0.7256132344552196,0.7463791949530446
191,2653.0,2.137949,3933.0,1280.0,1280.4753553317041,0.7301768397033657,0.7463446110926394
192,2668.0,2.150037,3933.0,1265.0,1280.419991651053,0.7216200798630918,0.7463123415260818
193,2653.0,2.137949,3933.0,1280.0,1280.3487919724612,0.7301768397033657,0.7462708417063413
194,2661.0,2.144396,3933.0,1272.0,1280.2714264424899,0.7256132344552196,0.7462257480259842
195,2653.0,2.137949,3933.0,1280.0,1280.1879560660288,0.7301768397033657,0.7461770960426422
196,2653.0,2.137949,3933.0,1280.0,1280.0984418479675,0.7301768397033657,0.7461249213139461
197,2653.0,2.137949,3933.0,1280.0,1280.01321191618,0.7301768397033657,0.7460752437469171
198,2653.0,2.137949,3933.0,1280.0,1279.9227268488698,0.7301768397033657,0.7460225031439137
199,2652.0,2.137143,3933.0,1281.0,1279.8270563659116,0.7307472903593839,0.7459667401422291
200,2668.0,2.150037,3933.0,1265.0,1279.6590061954898,0.7216200798630918,0.7458687895346167
201,2653.0,2.137949,3933.0,1280.0,1279.4904549134721,0.7301768397033657,0.7457705468464596
202,2661.0,2.144396,3933.0,1272.0,1279.3624797267753,0.7256132344552196,0.7456959545549742
203,2637.0,2.125055,3933.0,1296.0,1279.2366876436413,0.7393040501996577,0.7456226347187319
204,2652.0,2.137143,3933.0,1281.0,1279.1131222389913,0.7307472903593839,0.745550612736041
205,2652.0,2.137143,3933.0,1281.0,1278.991827087747,0.7307472903593839,0.7454799140052095
206,2637.0,2.125055,3933.0,1296.0,1278.90364713378,0.7393040501996577,0.7454285169727124
207,2645.0,2.131502,3933.0,1288.0,1278.8814274098531,0.7347404449515117,0.745415565867372
208,2653.0,2.137949,3933.0,1280.0,1278.8676350757273,0.7301768397033657,0.745407526794846
209,2660.0,2.14359,3933.0,1273.0,1278.8623921411831,0.7261836851112379,0.7454044708703981
210,2652.0,2.137143,3933.0,1281.0,1278.7323480172176,0.7307472903593839,0.7453286726672372
211,2637.0,2.125055,3933.0,1296.0,1278.6024302605247,0.7393040501996577,0.7452529481191705
212,2653.0,2.137949,3933.0,1280.0,1278.626654430836,0.7301768397033657,0.7452670675466899
213,2660.0,2.14359,3933.0,1273.0,1278.6610228428526,0.7261836851112379,0.7452870997003691
214,2648.0,2.133919,3933.0,1285.0,1278.7056749363228,0.733029092983457,0.7453131258547943
215,2637.0,2.125055,3933.0,1296.0,1278.7607501509942,0.7393040501996577,0.7453452272845513
216,2637.0,2.125055,3933.0,1296.0,1278.8263879266165,0.7393040501996577,0.7453834852642273
217,2637.0,2.125055,3933.0,1296.0,1278.9027277029381,0.7393040501996577,0.7454279810684085
218,2653.0,2.137949,3933.0,1280.0,1278.9899089197065,0.7301768397033657,0.7454787959716807
219,2653.0,2.137949,3933.0,1280.0,1279.1553350083605,0.7301768397033657,0.7455752170931703
220,2652.0,2.137143,3933.0,1281.0,1279.3273365526559,0.7307472903593839,0.7456754708193744
221,2653.0,2.137949,3933.0,1280.0,1279.4388500055416,0.7301768397033657,0.745740468137971
222,2653.0,2.137949,3933.0,1280.0,1279.5413504216822,0.7301768397033657,0.7458002120704901
223,2637.0,2.125055,3933.0,1296.0,1279.5207054954149,0.7393040501996577,0.7457881788600094
224,2653.0,2.137949,3933.0,1280.0,1279.4915756604505,0.7301768397033657,0.7457712000909474
225,2653.0,2.137949,3933.0,1280.0,1279.4635700584586,0.7301768397033657,0.7457548765982382
226,2645.0,2.131502,3933.0,1288.0,1279.436688689439,0.7347404449515117,0.7457392083818818
227,2652.0,2.137143,3933.0,1281.0,1279.4109315533924,0.7307472903593839,0.7457241954418782
228,2652.0,2.137143,3933.0,1281.0,1279.3862986503177,0.7307472903593839,0.7457098377782271
229,2660.0,2.14359,3933.0,1273.0,1279.430053971905,0.7261836851112379,0.7457353412354685
230,2637.0,2.125055,3933.0,1296.0,1279.4799978038313,0.7393040501996577,0.7457644517604468
231,2652.0,2.137143,3933.0,1281.0,1279.5259327429878,0.7307472903593839,0.7457912256410667
232,2653.0,2.137949,3933.0,1280.0,1279.5679285092485,0.7301768397033657,0.7458157035146211
233,2645.0,2.131502,3933.0,1288.0,1279.606054822488,0.7347404449515117,0.7458379260184035
234,2645.0,2.131502,3933.0,1288.0,1279.650648525563,0.7347404449515117,0.7458639181390952
235,2637.0,2.125055,3933.0,1296.0,1279.692178911663,0.7393040501996577,0.7458881247587177
236,2652.0,2.137143,3933.0,1281.0,1279.7979884073354,0.7307472903593839,0.7459497974387648
237,2637.0,2.125055,3933.0,1296.0,1279.8963465914464,0.7393040501996577,0.746007127008102
238,2661.0,2.144396,3933.0,1272.0,1279.977125780761,0.7256132344552196,0.7460542103919269
239,2653.0,2.137949,3933.0,1280.0,1280.0500658417138,0.7301768397033657,0.7460967246200987
240,2652.0,2.137143,3933.0,1281.0,1280.0480335073794,0.7307472903593839,0.7460955400430023
241,2660.0,2.14359,3933.0,1273.0,1280.0429683585141,0.7261836851112379,0.7460925877436516
242,2653.0,2.137949,3933.0,1280.0,1280.034940114993,0.7301768397033657,0.7460879083593406
243,2660.0,2.14359,3933.0,1273.0,1280.0912824883796,0.7261836851112379,0.7461207483719017
244,2652.0,2.137143,3933.0,1281.0,1280.1402563425552,0.7307472903593839,0.7461492935305384
245,2652.0,2.137143,3933.0,1281.0,1280.181992402284,0.7307472903593839,0.7461736200301755
