Pixel,RawADC,RawVoltageV,DarkADC,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
21,2682.0,2.161319,3936.0,1254.0,1253.2287901248842,0.8720445062586927,0.8794996753936424
22,2671.0,2.152454,3936.0,1265.0,1253.2370222990376,0.8796940194714882,0.8795054526264611
23,2680.0,2.159707,3936.0,1256.0,1253.244918946296,0.8734353268428373,0.8795109943908661
24,2682.0,2.161319,3936.0,1254.0,1253.2524887816437,0.8720445062586927,0.8795163068029201
25,2683.0,2.162125,3936.0,1253.0,1253.2597405200654,0.8713490959666204,0.8795213959786862
26,2683.0,2.162125,3936.0,1253.0,1253.266682876545,0.8713490959666204,0.8795262680342265
27,2671.0,2.152454,3936.0,1265.0,1253.2733245660665,0.8796940194714882,0.8795309290856038
28,2687.0,2.165348,3936.0,1249.0,1253.2796743036147,0.868567454798331,0.879535385248881
29,2683.0,2.162125,3936.0,1253.0,1253.3241773708537,0.8713490959666204,0.8795666169230167
30,2683.0,2.162125,3936.0,1253.0,1253.3658088507714,0.8713490959666204,0.8795958333544953
31,2675.0,2.155678,3936.0,1261.0,1253.4046123182889,0.8769123783031989,0.8796230651236302
32,2687.0,2.165348,3936.0,1249.0,1253.4406313483287,0.868567454798331,0.8796483428107353
33,2687.0,2.165348,3936.0,1249.0,1253.4739095158116,0.868567454798331,0.8796716969961239
34,2675.0,2.155678,3936.0,1261.0,1253.5044903956586,0.8769123783031989,0.8796931582601092
35,2683.0,2.162125,3936.0,1253.0,1253.4939809961127,0.8713490959666204,0.8796857829001093
36,2682.0,2.161319,3936.0,1254.0,1253.4834585240899,0.8720445062586927,0.8796783983660152
37,2671.0,2.152454,3936.0,1265.0,1253.472931694575,0.8796940194714882,0.8796710107738899
38,2698.0,2.174212,3936.0,1238.0,1253.4624092225522,0.8609179415855355,0.8796636262397958
39,2682.0,2.161319,3936.0,1254.0,1253.451899823006,0.8720445062586927,0.8796562508797958
40,2683.0,2.162125,3936.0,1253.0,1253.4414122109206,0.8713490959666204,0.8796488908099527
41,2683.0,2.162125,3936.0,1253.0,1253.43095510128,0.8713490959666204,0.8796415521463288
42,2680.0,2.159707,3936.0,1256.0,1253.4205372090687,0.8734353268428373,0.8796342410049871
43,2675.0,2.155678,3936.0,1261.0,1253.4486038159503,0.8769123783031989,0.8796539377848858
44,2682.0,2.161319,3936.0,1254.0,1253.474130004914,0.8720445062586927,0.8796718517325102
45,2671.0,2.152454,3936.0,1265.0,1253.4971593508803,0.8796940194714882,0.8796880134281729
46,2682.0,2.161319,3936.0,1254.0,1253.5177354287716,0.8720445062586927,0.8797024534521884
47,2666.0,2.148425,3936.0,1270.0,1253.5359018135082,0.8831710709318498,0.8797152023848692
48,2682.0,2.161319,3936.0,1254.0,1253.5517020800125,0.8720445062586927,0.8797262908065294
49,2696.0,2.172601,3936.0,1240.0,1253.5267432365258,0.8623087621696801,0.8797087750145864
50,2683.0,2.162125,3936.0,1253.0,1253.5021024899654,0.8713490959666204,0.8796914824589318
51,2675.0,2.155678,3936.0,1261.0,1253.4681794136457,0.8769123783031989,0.879667675684904
52,2675.0,2.155678,3936.0,1261.0,1253.4352411305497,0.8769123783031989,0.8796445600259604
53,2683.0,2.162125,3936.0,1253.0,1253.4032876406782,0.8713490959666204,0.8796221354821012
54,2687.0,2.165348,3936.0,1249.0,1253.3819280857,0.868567454798331,0.8796071456240498
55,2687.0,2.165348,3936.0,1249.0,1253.3609040576168,0.868567454798331,0.8795923912344121
56,2683.0,2.162125,3936.0,1253.0,1253.3402242714128,0.8713490959666204,0.8795778784292508
57,2687.0,2.165348,3936.0,1249.0,1253.3198974420725,0.868567454798331,0.8795636133246287
58,2682.0,2.161319,3936.0,1254.0,1253.2903231429098,0.8720445062586927,0.8795428584658842
59,2699.0,2.175018,3936.0,1237.0,1253.261768496908,0.8602225312934632,0.8795228191864746
60,2703.0,2.178242,3936.0,1233.0,1253.2150152207275,0.8574408901251739,0.879490008344952
61,2683.0,2.162125,3936.0,1253.0,1253.1897984137058,0.8713490959666204,0.8794723115175531
62,2687.0,2.165348,3936.0,1249.0,1253.1655838298768,0.868567454798331,0.8794553180373641
