Pixel,RawADC,RawVoltageV,DarkADC,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
21,2620.0,2.111355,3932.0,1312.0,1305.1290401577835,0.7165483342435828,0.7235069584856842
22,2636.0,2.124249,3932.0,1296.0,1304.9340144965124,0.707809939923539,0.7233988447140407
23,2620.0,2.111355,3932.0,1312.0,1304.7414116008715,0.7165483342435828,0.7232920740186283
24,2628.0,2.117802,3932.0,1304.0,1304.5609103324057,0.7121791370835608,0.7231920119406786
25,2621.0,2.112161,3932.0,1311.0,1304.4495859946792,0.71600218459858,0.7231302985540972
26,2628.0,2.117802,3932.0,1304.0,1304.3357081665579,0.7121791370835608,0.7230671696231425
27,2628.0,2.117802,3932.0,1304.0,1304.2194162877902,0.7121791370835608,0.7230027024471661
28,2621.0,2.112161,3932.0,1311.0,1304.1104589397953,0.71600218459858,0.7229423012170756
29,2629.0,2.118608,3932.0,1303.0,1303.9987171543214,0.7116329874385582,0.7228803564155606
30,2636.0,2.124249,3932.0,1296.0,1303.8843390861018,0.707809939923539,0.7228169501731825
31,2621.0,2.112161,3932.0,1311.0,1303.76747288987,0.71600218459858,0.7227521646205024
32,2636.0,2.124249,3932.0,1296.0,1303.6482667203586,0.707809939923539,0.7226860818880811
33,2621.0,2.112161,3932.0,1311.0,1303.5268687322998,0.71600218459858,0.7226187841064794
34,2628.0,2.117802,3932.0,1304.0,1303.4034270804268,0.7121791370835608,0.7225503534062581
35,2636.0,2.124249,3932.0,1296.0,1303.2780899194722,0.707809939923539,0.7224808719179782
36,2637.0,2.125055,3932.0,1295.0,1303.1510054041694,0.7072637902785364,0.7224104217722008
37,2637.0,2.125055,3932.0,1295.0,1303.0223216892505,0.7072637902785364,0.7223390850994865
38,2636.0,2.124249,3932.0,1296.0,1302.8921869294486,0.707809939923539,0.7222669440303965
39,2637.0,2.125055,3932.0,1295.0,1302.7607492794962,0.7072637902785364,0.7221940806954912
40,2636.0,2.124249,3932.0,1296.0,1302.6281568941267,0.707809939923539,0.7221205772253321
41,2621.0,2.112161,3932.0,1311.0,1302.4849487864021,0.71600218459858,0.7220411888589237
42,2629.0,2.118608,3932.0,1303.0,1302.341531519055,0.7116329874385582,0.7219616845434883
43,2629.0,2.118608,3932.0,1303.0,1302.1980445318343,0.7116329874385582,0.7218821415783775
44,2628.0,2.117802,3932.0,1304.0,1302.0546272644874,0.7121791370835608,0.7218026372629421
45,2629.0,2.118608,3932.0,1303.0,1301.911419156763,0.7116329874385582,0.7217232488965339
46,2637.0,2.125055,3932.0,1295.0,1301.76855964841,0.7072637902785364,0.7216440537785043
47,2637.0,2.125055,3932.0,1295.0,1301.5589241874877,0.7072637902785364,0.721527840967314
48,2637.0,2.125055,3932.0,1295.0,1301.3544610697372,0.7072637902785364,0.7214144954789413
49,2637.0,2.125055,3932.0,1295.0,1301.1552487300166,0.7072637902785364,0.7213040607942709
50,2637.0,2.125055,3932.0,1295.0,1301.0286295948738,0.7072637902785364,0.7212338686350785
51,2636.0,2.124249,3932.0,1296.0,1300.9028732431755,0.707809939923539,0.7211641547656236
52,2637.0,2.125055,3932.0,1295.0,1300.7781191146696,0.7072637902785364,0.7210949964852569
53,2637.0,2.125055,3932.0,1295.0,1300.6545066491049,0.7072637902785364,0.7210264710933303
54,2628.0,2.117802,3932.0,1304.0,1300.5417844278993,0.7121791370835608,0.7209639827807506
55,2637.0,2.125055,3932.0,1295.0,1300.429833482803,0.7072637902785364,0.7209019220302086
56,2636.0,2.124249,3932.0,1296.0,1300.318801968548,0.707809939923539,0.720840370972265
57,2636.0,2.124249,3932.0,1296.0,1300.1992288981978,0.707809939923539,0.7207740848459251
58,2639.0,2.126667,3932.0,1293.0,1300.0815208344845,0.7061714909885308,0.7207088325984108
59,2637.0,2.125055,3932.0,1295.0,1299.965817217156,0.7072637902785364,0.7206446915290733
60,2636.0,2.124249,3932.0,1296.0,1299.8522574859612,0.707809939923539,0.7205817389372643
61,2629.0,2.118608,3932.0,1303.0,1299.740981080648,0.7116329874385582,0.7205200521223347
