Pixel,RawADC,RawVoltageV,DarkADC,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
21,2573.0,2.07348,3925.0,1352.0,1350.151866444617,0.7824074074074074,0.7904778362789407
22,2557.0,2.060586,3925.0,1368.0,1350.0489119777956,0.7916666666666666,0.790417559189977
23,2573.0,2.07348,3925.0,1352.0,1349.9484064215571,0.7824074074074074,0.7903587158727148
24,2565.0,2.067033,3925.0,1360.0,1349.8503497759025,0.7870370370370371,0.7903013063271546
25,2580.0,2.079121,3925.0,1345.0,1349.754742040831,0.7783564814814815,0.7902453305532959
26,2565.0,2.067033,3925.0,1360.0,1349.7288472080322,0.7870370370370371,0.790230169820707
27,2565.0,2.067033,3925.0,1360.0,1349.633592429824,0.7870370370370371,0.7901744006936594
28,2572.0,2.072674,3925.0,1353.0,1349.6081115587788,0.7829861111111112,0.7901594823246145
29,2572.0,2.072674,3925.0,1353.0,1349.5805957389032,0.7829861111111112,0.7901433725474115
30,2573.0,2.07348,3925.0,1352.0,1349.5511059750881,0.7824074074074074,0.7901261070787837
31,2573.0,2.07348,3925.0,1352.0,1349.5293124138927,0.7824074074074074,0.790113347531116
32,2572.0,2.072674,3925.0,1353.0,1349.5050176522084,0.7829861111111112,0.7900991235974042
33,2565.0,2.067033,3925.0,1360.0,1349.4782914099094,0.7870370370370371,0.7900834760967715
34,2581.0,2.079927,3925.0,1344.0,1349.516467398559,0.7777777777777778,0.7901058271179089
35,2581.0,2.079927,3925.0,1344.0,1349.4805424903493,0.7777777777777778,0.7900847940442112
36,2573.0,2.07348,3925.0,1352.0,1349.4424562660377,0.7824074074074074,0.7900624955776948
37,2559.0,2.062198,3925.0,1366.0,1349.3926693038286,0.7905092592592593,0.7900333466418306
38,2572.0,2.072674,3925.0,1353.0,1349.341509731595,0.7829861111111112,0.7900033940794786
39,2573.0,2.07348,3925.0,1352.0,1349.2890385542266,0.7824074074074074,0.7899726736073718
40,2588.0,2.085568,3925.0,1337.0,1349.2353167766137,0.7737268518518519,0.7899412209422428
41,2580.0,2.079121,3925.0,1345.0,1349.1804054036465,0.7783564814814815,0.7899090718008248
42,2565.0,2.067033,3925.0,1360.0,1349.1243654402147,0.7870370370370371,0.7898762618998502
