Pixel,RawADC,RawVoltageV,DarkADC,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
21,2637.0,2.125055,3932.0,1295.0,1289.001343850584,0.7103675260559518,0.7206014127538785
22,2637.0,2.125055,3932.0,1295.0,1288.835981381315,0.7103675260559518,0.7205089687626133
23,2637.0,2.125055,3932.0,1295.0,1288.6783586895874,0.7103675260559518,0.7204208516051854
24,2652.0,2.137143,3932.0,1280.0,1288.5183480921667,0.7021393307734504,0.7203313995164757
25,2639.0,2.126667,3932.0,1293.0,1288.3560890288009,0.7092704333516182,0.7202406904486758
26,2653.0,2.137949,3932.0,1279.0,1288.1917209392388,0.7015907844212836,0.7201488023539775
27,2629.0,2.118608,3932.0,1303.0,1288.025383263229,0.7147558968732858,0.7200558131845722
28,2652.0,2.137143,3932.0,1280.0,1287.8572154405194,0.7021393307734504,0.7199618008926515
29,2637.0,2.125055,3932.0,1295.0,1287.6873569108595,0.7103675260559518,0.7198668434304075
30,2652.0,2.137143,3932.0,1280.0,1287.515947113997,0.7021393307734504,0.7197710187500314
31,2632.0,2.121026,3932.0,1300.0,1287.3431254896807,0.7131102578167855,0.7196744048037147
32,2637.0,2.125055,3932.0,1295.0,1287.1690314776595,0.7103675260559518,0.7195770795436497
33,2637.0,2.125055,3932.0,1295.0,1286.9938045176812,0.7103675260559518,0.7194791209220273
34,2652.0,2.137143,3932.0,1280.0,1286.8175840494948,0.7021393307734504,0.7193806068910397
35,2652.0,2.137143,3932.0,1280.0,1286.640509512849,0.7021393307734504,0.7192816154028783
36,2652.0,2.137143,3932.0,1280.0,1286.4627203474915,0.7021393307734504,0.7191822244097346
37,2652.0,2.137143,3932.0,1280.0,1286.2843559931716,0.7021393307734504,0.7190825118638005
38,2652.0,2.137143,3932.0,1280.0,1286.1055558896376,0.7021393307734504,0.7189825557172674
39,2637.0,2.125055,3932.0,1295.0,1285.926459476638,0.7103675260559518,0.7188824339223272
40,2652.0,2.137143,3932.0,1280.0,1285.7472061939213,0.7021393307734504,0.7187822244311715
41,2652.0,2.137143,3932.0,1280.0,1285.5679354812362,0.7021393307734504,0.7186820051959918
42,2653.0,2.137949,3932.0,1279.0,1285.3887867783308,0.7015907844212836,0.7185818541689796
43,2639.0,2.126667,3932.0,1293.0,1285.2098995249537,0.7092704333516182,0.7184818493023267
44,2652.0,2.137143,3932.0,1280.0,1285.031413160854,0.7021393307734504,0.7183820685482251
45,2639.0,2.126667,3932.0,1293.0,1284.8534671257796,0.7092704333516182,0.7182825898588657
46,2653.0,2.137949,3932.0,1279.0,1284.6762008594794,0.7015907844212836,0.7181834911864409
47,2637.0,2.125055,3932.0,1295.0,1284.4997538017017,0.7103675260559518,0.7180848504831417
48,2652.0,2.137143,3932.0,1280.0,1284.324265392195,0.7021393307734504,0.7179867457011602
49,2645.0,2.131502,3932.0,1287.0,1284.140265929038,0.7059791552386177,0.7178838829122814
50,2652.0,2.137143,3932.0,1280.0,1283.9581532599782,0.7021393307734504,0.7177820749139958
51,2652.0,2.137143,3932.0,1280.0,1283.7780581097795,0.7021393307734504,0.7176813947864829
52,2653.0,2.137949,3932.0,1279.0,1283.6001112032068,0.7015907844212836,0.7175819156099225
53,2653.0,2.137949,3932.0,1279.0,1283.4340524066938,0.7015907844212836,0.7174890823449004
54,2660.0,2.14359,3932.0,1272.0,1283.2697540370061,0.6977509599561162,0.7173972332262979
55,2668.0,2.150037,3932.0,1264.0,1283.107355533892,0.6933625891387822,0.7173064462063065
56,2653.0,2.137949,3932.0,1279.0,1282.9373871954294,0.7015907844212836,0.7172114273567112
57,2661.0,2.144396,3932.0,1271.0,1282.7702468693674,0.6972024136039495,0.7171179894750029
58,2653.0,2.137949,3932.0,1279.0,1282.6060652804686,0.7015907844212836,0.7170262056413605
59,2637.0,2.125055,3932.0,1295.0,1282.4545822951684,0.7103675260559518,0.7169415208163709
60,2653.0,2.137949,3932.0,1279.0,1282.3056702302313,0.7015907844212836,0.7168582732349144
61,2661.0,2.144396,3932.0,1271.0,1282.159468525406,0.6972024136039495,0.7167765408491829
62,2653.0,2.137949,3932.0,1279.0,1282.0161166204412,0.7015907844212836,0.7166964016113678
63,2660.0,2.14359,3932.0,1272.0,1281.8757539550854,0.6977509599561162,0.7166179334736612
64,2661.0,2.144396,3932.0,1271.0,1281.7385199690868,0.6972024136039495,0.7165412143882544
65,2653.0,2.137949,3932.0,1279.0,1281.6045541021942,0.7015907844212836,0.7164663223073391
66,2653.0,2.137949,3932.0,1279.0,1281.4739957941563,0.7015907844212836,0.716393335183107
67,2669.0,2.150842,3932.0,1263.0,1281.3469844847211,0.6928140427866155,0.7163223309677497
68,2645.0,2.131502,3932.0,1287.0,1281.2236596136374,0.7059791552386177,0.7162533876134587
69,2668.0,2.150037,3932.0,1264.0,1281.104160620654,0.6933625891387822,0.716186583072426
70,2653.0,2.137949,3932.0,1279.0,1280.988626945519,0.7015907844212836,0.7161219952968428
71,2653.0,2.137949,3932.0,1279.0,1280.877198027981,0.7015907844212836,0.7160597022389011
72,2661.0,2.144396,3932.0,1271.0,1280.7700133077885,0.6972024136039495,0.7159997818507923
73,2652.0,2.137143,3932.0,1280.0,1280.6672122246903,0.7021393307734504,0.7159423120847082
74,2653.0,2.137949,3932.0,1279.0,1280.5689342184348,0.7015907844212836,0.7158873708928404
75,2652.0,2.137143,3932.0,1280.0,1280.4753187287704,0.7021393307734504,0.7158350362273804
76,2653.0,2.137949,3932.0,1279.0,1280.3865051954456,0.7015907844212836,0.71578538604052
77,2652.0,2.137143,3932.0,1280.0,1280.302633058209,0.7021393307734504,0.7157384982844508
78,2637.0,2.125055,3932.0,1295.0,1280.223841756809,0.7103675260559518,0.7156944509113643
79,2652.0,2.137143,3932.0,1280.0,1280.1502707309944,0.7021393307734504,0.7156533218734524
80,2661.0,2.144396,3932.0,1271.0,1280.0820594205136,0.6972024136039495,0.7156151891229066
81,2652.0,2.137143,3932.0,1280.0,1280.019347265115,0.7021393307734504,0.7155801306119184
82,2660.0,2.14359,3932.0,1272.0,1279.962273704547,0.6977509599561162,0.7155482242926796
83,2637.0,2.125055,3932.0,1295.0,1279.9109781785585,0.7103675260559518,0.7155195481173818
