Pixel,1-1_SmoothedNormalizedIntensity,1-2_SmoothedNormalizedIntensity,1-3_SmoothedNormalizedIntensity,1-4_SmoothedNormalizedIntensity,1-5_SmoothedNormalizedIntensity,2-1_SmoothedNormalizedIntensity,2-2_SmoothedNormalizedIntensity,2-3_SmoothedNormalizedIntensity,2-4_SmoothedNormalizedIntensity,2-5_SmoothedNormalizedIntensity,3-1_SmoothedNormalizedIntensity,3-2_SmoothedNormalizedIntensity,3-3_SmoothedNormalizedIntensity,3-4_SmoothedNormalizedIntensity,3-5_SmoothedNormalizedIntensity,4-1_SmoothedNormalizedIntensity,4-2_SmoothedNormalizedIntensity,4-3_SmoothedNormalizedIntensity,4-4_SmoothedNormalizedIntensity,4-5_SmoothedNormalizedIntensity,5-1_SmoothedNormalizedIntensity,5-2_SmoothedNormalizedIntensity,5-3_SmoothedNormalizedIntensity,5-4_SmoothedNormalizedIntensity,5-5_SmoothedNormalizedIntensity,6-1_SmoothedNormalizedIntensity,6-2_SmoothedNormalizedIntensity,6-3_SmoothedNormalizedIntensity,6-4_SmoothedNormalizedIntensity,6-5_SmoothedNormalizedIntensity,7-1_SmoothedNormalizedIntensity,7-2_SmoothedNormalizedIntensity,7-3_SmoothedNormalizedIntensity,7-4_SmoothedNormalizedIntensity,7-5_SmoothedNormalizedIntensity,8-1_SmoothedNormalizedIntensity,8-2_SmoothedNormalizedIntensity,8-3_SmoothedNormalizedIntensity,8-4_SmoothedNormalizedIntensity,8-5_SmoothedNormalizedIntensity,9-1_SmoothedNormalizedIntensity,9-2_SmoothedNormalizedIntensity,9-3_SmoothedNormalizedIntensity,9-4_SmoothedNormalizedIntensity,9-5_SmoothedNormalizedIntensity,10-1_SmoothedNormalizedIntensity,10-2_SmoothedNormalizedIntensity,10-3_SmoothedNormalizedIntensity,10-4_SmoothedNormalizedIntensity,10-5_SmoothedNormalizedIntensity,11-1_SmoothedNormalizedIntensity,11-2_SmoothedNormalizedIntensity,11-3_SmoothedNormalizedIntensity,11-4_SmoothedNormalizedIntensity,11-5_SmoothedNormalizedIntensity,12-1_SmoothedNormalizedIntensity,12-2_SmoothedNormalizedIntensity,12-3_SmoothedNormalizedIntensity,12-4_SmoothedNormalizedIntensity,12-5_SmoothedNormalizedIntensity
21,0.7504851900196123,0.7541038655713961,0.750907860397528,0.7557690870683889,0.7514480851795585,0.7279288574762497,0.7344474317079807,0.7316876327962822,0.7290532684663711,0.7284331639983517,0.9026715295741247,0.9038249942653372,0.9073883526953693,0.905303763141451,0.9020834822416149,0.7188008128846813,0.7170700736531032,0.7173251277776457,0.7235069584856842,0.7206014127538785,0.7155406084545278,0.7183502782282896,0.7198425439119671,0.7243984510507232,0.7208804005867059,0.6998973646681885,0.7026490406596451,0.7017245507402304,0.7018217832740343,0.698808081149597,0.7287009275371971,0.7285360224414773,0.7265088341675556,0.7219346079664941,0.7250601053960054,0.8872393732351609,0.8825577360615771,0.8794996753936424,0.877757796323132,0.879061343844088,0.8227151825013778,0.8186035867690504,0.8141872601456775,0.8180962720974889,0.8143087201933822,0.798557450630139,0.7944807674819141,0.7948729632339906,0.7904778362789407,0.7943052318462102,0.7182615500440505,0.7227852603904451,0.7167470084814394,0.7212205966975483,0.7128184789032833,0.8706557885429483,0.8655291136273965,0.8686735368641835,0.8682634084074384,0.8672657772984117
22,0.7504563412265178,0.7539691697482291,0.7507671300563508,0.7557004502890925,0.7515044323423328,0.7279039560002019,0.7343230955824006,0.7315787931769996,0.7289620265858155,0.7283491664320193,0.9025723579575003,0.9037289038363722,0.9073028376602293,0.9052424709223476,0.9020239460204537,0.7187231157842373,0.7170472439360862,0.7172698402414712,0.7233988447140407,0.7205089687626133,0.7154842231344944,0.7182733798018842,0.7197227413147937,0.7242718909313146,0.7208863159154283,0.6998084557437427,0.7026419389032195,0.7016389269370198,0.701691920469575,0.6987618319355203,0.7285785033126189,0.7284127454141406,0.7263761281477874,0.7219510210833471,0.7249049390664556,0.8870844884453983,0.8825585092371871,0.8795054526264611,0.8777272249270701,0.8790556815273736,0.8224637572775523,0.8185978332204056,0.8142594036755739,0.8180857390543439,0.8142642116535318,0.7984196420371714,0.7944532949760571,0.7948446372823804,0.790417559189977,0.7941842957269608,0.7181279940260671,0.72272295517743,0.7167343942131373,0.7210850157584745,0.7128993567640335,0.8706447501498388,0.8655360515424314,0.8686992093128516,0.8682765884420374,0.8673353579561226
23,0.7504279952999637,0.7538346138753838,0.75062952559013,0.7556318059599921,0.7515573532733247,0.7278789350374691,0.73419981157778,0.7314750305743124,0.7288709017657271,0.7282603809332467,0.9024754990137254,0.9036328974487144,0.9072143743246953,0.9051798418165116,0.9019637191238732,0.718644380466093,0.717023336123294,0.7172131950331306,0.7232920740186283,0.7204208516051854,0.7154442056140112,0.718196656194817,0.7196025007617523,0.7241686174140763,0.7208911493683235,0.6997185864763736,0.7026350114258763,0.701555452841782,0.7015636834251742,0.698727097735859,0.7284556002022805,0.72828916334903,0.7262427655561797,0.7219662388209926,0.7247629112046254,0.8869295271593469,0.8825590791076563,0.8795109943908661,0.8776972672912178,0.8790505174413857,0.822241666323285,0.8186155653223747,0.8143292491302162,0.8180723546333297,0.8142206589086105,0.7982825596800954,0.794426482378878,0.7948165768706088,0.7903587158727148,0.794086652996563,0.7179955495595706,0.7226600511026698,0.7167213263425101,0.7209512135192696,0.7129796092046451,0.8706330780485688,0.8655589364320166,0.8687242445206782,0.8682896287095676,0.867404877660357
24,0.75040015223995,0.7537058855339301,0.7505230225648304,0.7556075861883468,0.7516068835301662,0.727853808114846,0.7340776199025631,0.7313710754201299,0.7287849032936292,0.7281721493952401,0.9024074457618467,0.9035370231259673,0.9071230581802789,0.9051159176951159,0.9019028491846606,0.7185646701472519,0.7169983844399899,0.717155250757178,0.7231920119406786,0.7203313995164757,0.7154042389352515,0.7181201442111593,0.7194819052339546,0.7240616838839388,0.7208949193603001,0.6996278321870947,0.7026282535801737,0.701474128454517,0.7014422783265771,0.6986928011368598,0.7283219854686975,0.7281653513323668,0.7261088258355889,0.7219802611794306,0.7246229631374846,0.886774568933147,0.8825594456729852,0.8795163068029201,0.8776611560955,0.8790525043251303,0.8220176092436745,0.818632042658283,0.8143967965096044,0.8180561827905858,0.8141780619586183,0.7981630634044605,0.7944003296903756,0.7947887819986755,0.7903013063271546,0.7939884104451359,0.7178845670120335,0.7225965844608155,0.716707823196924,0.72085966365365,0.713059199435698,0.8706207896966636,0.8655813150573577,0.8687486424876627,0.868302529210029,0.8674858193495255
25,0.75039521449688,0.7535770706777322,0.7504289453999297,0.7555804295428954,0.7516530586704883,0.7278534464985389,0.7339565607651944,0.7312919730006728,0.7287335263551183,0.7280894736783775,0.9023399151139623,0.9034413288917342,0.9070289847184902,0.9050573357372135,0.901841383835604,0.7184840480447164,0.7169724231114357,0.7170960660181673,0.7231302985540972,0.7202406904486758,0.7153796301545368,0.7180438806549825,0.7194017021453545,0.7239258794731559,0.7208976443062655,0.6995362681969197,0.7026524063372859,0.7014567868537663,0.7013222151251713,0.6986589515492896,0.7281887281474136,0.7280413844503725,0.7259743884288709,0.7219930881586614,0.7245318168410291,0.8866331884922208,0.8825596089331738,0.8795213959786862,0.8776328832314245,0.8790545274438367,0.8217917570061416,0.8186472652281305,0.8144620458137383,0.8180372874822509,0.8141305333203764,0.7980488798236954,0.7943748369105507,0.7947837745301072,0.7902453305532959,0.7938896290714283,0.7177734256714271,0.7225325915465187,0.716693903103746,0.7207672336066516,0.7131380906677725,0.8706079025516481,0.8656339850436058,0.8687724032138058,0.8683152899434216,0.867565844995015
26,0.7503892659412688,0.7534482507324318,0.7503353731450262,0.7555559611310337,0.751701515086857,0.7278513263989432,0.7338366743741181,0.7311861489643331,0.7286797226630795,0.7280070884531358,0.9022994241168892,0.9033723381824279,0.9069322494308402,0.9049970968771864,0.9017793707094901,0.7184025773754893,0.716945486362895,0.7170356994206522,0.7230671696231425,0.7201488023539775,0.715354076179964,0.7179679023303576,0.7193185624474082,0.7237884036871357,0.7208993426211269,0.6994439698268622,0.7026900148337993,0.7014374170502762,0.7012035313565425,0.6986566873187663,0.7280661917934867,0.7279173377892679,0.7258086173578143,0.7220047197586842,0.7243929580781205,0.8864775632183828,0.882559568888222,0.8795262680342265,0.8775984506698807,0.8790499280193386,0.821564280578108,0.818661233031917,0.8145249970426183,0.8180157326644646,0.8140843582799814,0.7979509060311782,0.7943500040394029,0.7948000327173682,0.790230169820707,0.7938127889476421,0.7176621945782161,0.7224681086544302,0.7166795843903427,0.7206739967267234,0.7132162461114485,0.8705944340710473,0.8656840678449906,0.8687955266991065,0.8683279109097448,0.8676449267323781
27,0.750382326890957,0.7533195071236702,0.7502423413214261,0.7555283318678437,0.7517463090671767,0.727847483887511,0.7337180009377786,0.7311053362345378,0.7286235732593745,0.7279250342532299,0.9022312206914487,0.9033018347296,0.9068592700437703,0.9049352489678036,0.9017431173948843,0.7183203213565734,0.7169283903552447,0.7169742095691868,0.7230027024471661,0.7200558131845722,0.7153276093653578,0.7178922460413557,0.7192326060017219,0.7236493714760321,0.7209000327197925,0.6993510123979354,0.7027246907942848,0.701416075123385,0.7010862645562759,0.698663161926414,0.7279743466439285,0.7278036351937185,0.7256445963661443,0.7220151559794998,0.7243029998996723,0.8863221919122237,0.8825593255381295,0.8795309290856038,0.8775718503023779,0.8790458147472463,0.8213353509269942,0.8186739460696425,0.8145856501962441,0.8179915822933655,0.8140395314977965,0.7978512893204022,0.7943258310769324,0.7948135333755377,0.7901744006936594,0.7937340171968125,0.7175712425106635,0.7224031720792018,0.7166648853840809,0.7206204633618053,0.7132936289773063,0.8705804017123864,0.8657315913933336,0.8688180129435658,0.8683403921089994,0.8677230366971691
28,0.7503744176637841,0.7531909212770896,0.7501498854504355,0.7554976222845692,0.7517874812487406,0.7278568696793412,0.73360058066462,0.7310229377865487,0.7285651591858653,0.7278681807644224,0.9021636359810821,0.9032298905686567,0.9067820412844732,0.9049180070169929,0.9016783772916833,0.7182373432049716,0.7169096588689696,0.7169116550683254,0.7229423012170756,0.7199618008926515,0.7153002620645418,0.7178169485920481,0.7191541187781118,0.7235088977899989,0.7209200372943871,0.6992574712311534,0.7027820927471269,0.7014134281786114,0.7009911456283899,0.6986984645363981,0.7278802659154797,0.7277410475432845,0.7255132922791288,0.722024396821108,0.7242121218120339,0.8861806492991652,0.8826132217308539,0.879535385248881,0.8775458514198804,0.8790488403665656,0.8211051390202221,0.8186854043413072,0.8146440052746157,0.8179649003250932,0.814001935117365,0.7977333272815711,0.7943023180231394,0.7948243173568988,0.7901594823246145,0.7936533951506043,0.7174789671675313,0.7223378181154843,0.7166498244123272,0.720563537631158,0.713370202475926,0.8706004705340701,0.8657765836204544,0.8688398619471831,0.8683527335411849,0.8678001470249411
29,0.7503655585775907,0.7530625746183311,0.7500916117325189,0.7554639129124541,0.7518250722688421,0.7278635974560463,0.7334844537630866,0.7309390442328336,0.7285045614844133,0.7278199933837903,0.9021231870326061,0.9031565777350029,0.9066743602824064,0.904896132319989,0.9016395160819591,0.7181537061376867,0.7168893359079791,0.7168480945226214,0.7228803564155606,0.7198668434304075,0.71527206663134,0.7177674093920853,0.7190723676307701,0.7233670975791903,0.7209173942947611,0.6991686122068793,0.7028349053507966,0.7014075286322098,0.7008961205394683,0.6987294099612936,0.7277840477213207,0.7276744193155696,0.7253817522001,0.7220324422835085,0.7241255825901949,0.8860386079303039,0.8826632428043863,0.8795666169230167,0.8775204540223888,0.8790518901425262,0.8208973794100329,0.818695607846911,0.8147000622777332,0.8179357507157863,0.8139652785129531,0.7976318492739114,0.7942794648780236,0.7948324255137345,0.7901433725474115,0.7935710041406829,0.7173651562622768,0.7222720830579288,0.7166344198024481,0.7205033295574537,0.7134662118250887,0.8706176693386304,0.8657882748330222,0.8688495553205786,0.8683649352063018,0.8678762298512475
30,0.7503557699502164,0.7529345485730369,0.7500317167206924,0.7554272842827424,0.7518591227647738,0.7278677168158735,0.7333893643663767,0.7308537461858606,0.7284418611968808,0.7277748982752057,0.9020551217668421,0.9030819682640447,0.9065644471662765,0.904869714600733,0.9015985471213858,0.7180694733717214,0.7168674654761823,0.7167835865366288,0.7228169501731825,0.7197710187500314,0.7152379592301027,0.7177165889503929,0.7189874816414262,0.72322408579376,0.7209341210157872,0.6990945410513549,0.702883189022043,0.7013984512566309,0.7008012455928898,0.6987560734872359,0.727685790174631,0.727603881911461,0.7252603607122697,0.7220392923667015,0.724037914068072,0.8858961596011864,0.8826550951968654,0.8795958333544953,0.8775430293504345,0.8790549640751276,0.8206635237600974,0.818704556586454,0.8147538212055966,0.8179041974215844,0.8139943239995313,0.7975346022251433,0.7942796598048945,0.794837898698327,0.7901261070787837,0.7934869254987131,0.7172515685878594,0.7222060032011868,0.7166186898818104,0.7204399491633647,0.7135599678222815,0.8706320470071377,0.8657995715086274,0.8688593897226846,0.8683962605006234,0.8679512573116422
