Pixel,RawADC,RawVoltageV,DarkADC,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
21,2627.0,2.116996,3936.0,1309.0,1303.5876618481593,0.691129883843717,0.7018217832740343
22,2626.0,2.11619,3936.0,1310.0,1303.3464502561842,0.6916578669482577,0.701691920469575
23,2634.0,2.122637,3936.0,1302.0,1303.1082584062635,0.6874340021119324,0.7015636834251742
24,2626.0,2.11619,3936.0,1310.0,1302.8827564449562,0.6916578669482577,0.7014422783265771
25,2634.0,2.122637,3936.0,1302.0,1302.6597469691537,0.6874340021119324,0.7013222151251713
26,2639.0,2.126667,3936.0,1297.0,1302.4392996987306,0.6847940865892291,0.7012035313565425
27,2626.0,2.11619,3936.0,1310.0,1302.2214843535603,0.6916578669482577,0.7010862645562759
28,2627.0,2.116996,3936.0,1309.0,1302.0448072201975,0.691129883843717,0.7009911456283899
29,2635.0,2.123443,3936.0,1301.0,1301.8683043865203,0.6869060190073918,0.7008961205394683
30,2639.0,2.126667,3936.0,1297.0,1301.6920804323404,0.6847940865892291,0.7008012455928898
31,2635.0,2.123443,3936.0,1301.0,1301.5162399374688,0.6869060190073918,0.700706577092033
32,2634.0,2.122637,3936.0,1302.0,1301.3408874817171,0.6874340021119324,0.7006121713402766
33,2656.0,2.140366,3936.0,1280.0,1301.1661276448965,0.675818373812038,0.7005180846409992
34,2635.0,2.123443,3936.0,1301.0,1300.9920650068182,0.6869060190073918,0.7004243732975792
35,2635.0,2.123443,3936.0,1301.0,1300.8188041472943,0.6869060190073918,0.7003310936133957
36,2626.0,2.11619,3936.0,1310.0,1300.6464496461354,0.6916578669482577,0.700238301891827
37,2643.0,2.12989,3936.0,1293.0,1300.4751060831536,0.6826821541710665,0.7001460544362521
38,2632.0,2.121026,3936.0,1304.0,1300.3048780381598,0.6884899683210137,0.7000544075500492
39,2635.0,2.123443,3936.0,1301.0,1300.135870090966,0.6869060190073918,0.6999634175365975
40,2634.0,2.122637,3936.0,1302.0,1300.1315422297712,0.6874340021119324,0.6999610875151111
41,2635.0,2.123443,3936.0,1301.0,1300.1176060984048,0.6869060190073918,0.6999535846207116
42,2639.0,2.126667,3936.0,1297.0,1300.094314431411,0.6847940865892291,0.6999410449198971
43,2634.0,2.122637,3936.0,1302.0,1300.0619199633347,0.6874340021119324,0.6999236044791666
44,2626.0,2.11619,3936.0,1310.0,1300.0206754287192,0.6916578669482577,0.6999013993650178
