Pixel,card01_rep01_SmoothedNormalizedIntensity,card01_rep02_SmoothedNormalizedIntensity,card01_rep03_SmoothedNormalizedIntensity,card01_rep04_SmoothedNormalizedIntensity,card01_rep05_SmoothedNormalizedIntensity,card02_rep01_SmoothedNormalizedIntensity,card02_rep02_SmoothedNormalizedIntensity,card02_rep03_SmoothedNormalizedIntensity,card02_rep04_SmoothedNormalizedIntensity,card02_rep05_SmoothedNormalizedIntensity,card03_rep01_SmoothedNormalizedIntensity,card03_rep02_SmoothedNormalizedIntensity,card03_rep03_SmoothedNormalizedIntensity,card03_rep04_SmoothedNormalizedIntensity,card03_rep05_SmoothedNormalizedIntensity,card04_rep01_SmoothedNormalizedIntensity,card04_rep02_SmoothedNormalizedIntensity,card04_rep03_SmoothedNormalizedIntensity,card04_rep04_SmoothedNormalizedIntensity,card04_rep05_SmoothedNormalizedIntensity,card06_rep01_SmoothedNormalizedIntensity,card06_rep02_SmoothedNormalizedIntensity,card06_rep03_SmoothedNormalizedIntensity,card06_rep04_SmoothedNormalizedIntensity,card06_rep05_SmoothedNormalizedIntensity,card07_rep01_SmoothedNormalizedIntensity,card07_rep02_SmoothedNormalizedIntensity,card07_rep03_SmoothedNormalizedIntensity,card07_rep04_SmoothedNormalizedIntensity,card07_rep05_SmoothedNormalizedIntensity,card08_rep01_SmoothedNormalizedIntensity,card08_rep02_SmoothedNormalizedIntensity,card08_rep03_SmoothedNormalizedIntensity,card08_rep04_SmoothedNormalizedIntensity,card08_rep05_SmoothedNormalizedIntensity,lens_rep01_SmoothedNormalizedIntensity,lens_rep02_SmoothedNormalizedIntensity,lens_rep03_SmoothedNormalizedIntensity,lens_rep04_SmoothedNormalizedIntensity,lens_rep05_SmoothedNormalizedIntensity,lens_unlabelled_SmoothedNormalizedIntensity
21,0.8086611098282965,0.7989364309740055,0.8041009349327547,0.8041009349327547,0.80552964253322,0.8212768549352203,0.8218114294413184,0.820704477564604,0.8234533515414308,0.8255767712926517,0.804201373943722,0.8001281540817748,0.8001773093445763,0.7992317424066099,0.8011110062784619,0.7874345416477007,0.793730601548432,0.7870658560181613,0.7876280743309614,0.7883212122318728,0.7967112768688035,0.7941669268953134,0.7948321855450408,0.7978224949298632,0.793612729353295,0.79879396753271,0.7935474011617,0.7983263428895088,0.8055328375856186,0.7950496931795075,0.7760697413479152,0.7760697413479152,0.7802294523316123,0.7758717709488324,0.7816641073522929,0.9185291803577291,0.9172048080983433,0.9150803050226815,0.8639017776386009,0.8860628704539767,0.8538940234585695
22,0.8085562327450415,0.7988847748146696,0.8040181001129602,0.8040181001129602,0.8053835356171564,0.8212370855399161,0.821839984324386,0.8207448506704436,0.8233636871061385,0.8255437511501933,0.8040651222740931,0.8001170698160358,0.800081371871226,0.7991367559206339,0.8010460680604586,0.7873487343464393,0.7935461558233128,0.7870458644169522,0.7875719345310291,0.7883327046295738,0.7967055351095894,0.7942281354083385,0.7947701146849453,0.7977003709828742,0.7936096018716305,0.7987554984992988,0.7937021505293312,0.7982639882209509,0.805347779844988,0.7950522294807472,0.7761358188462574,0.7761358188462574,0.7801460884781363,0.7759035963490825,0.7815384405288656,0.9184851385927998,0.9172246916732266,0.9150757880940723,0.86388674513918,0.885970672212123,0.8538915655627053
23,0.8084518545967457,0.7988333867256617,0.8039151519450479,0.8039151519450479,0.8052390484691261,0.8211982635555319,0.8218725364542784,0.8207640541159555,0.823276307485048,0.8255081157476886,0.8039294327695296,0.8001060258933934,0.799986806403215,0.7990191387658084,0.8009825787682119,0.7872648592793967,0.7933615145598177,0.7870260177407623,0.7875152333492139,0.78834471315292,0.7966720096497737,0.7942892322866891,0.7947454464032614,0.7975788790106696,0.7936082250969999,0.7987174984941706,0.7938578296201989,0.7982017432661549,0.8051635092274093,0.7950496250840626,0.7762038380626661,0.7762038380626661,0.7800402108637218,0.775936339399846,0.7813662682656003,0.9184298941418078,0.9172316878618073,0.9150713443282096,0.8638716939675337,0.8858594116007226,0.8538892609408967
24,0.8083427539932552,0.7987384977724051,0.8038146931241272,0.8038146931241272,0.805096214684318,0.8211603889820674,0.821898021572148,0.8207848843557228,0.8231912126781591,0.8254699281034522,0.8037943709739407,0.8000950223138472,0.7998936331170919,0.7989026543022876,0.8009205384017217,0.7871947524546257,0.793176790259478,0.7870063159895914,0.7874580083900439,0.7883572162966761,0.7966409382626619,0.7943501811841928,0.794687560281059,0.7974580708144613,0.793608562825713,0.7986799828953025,0.7940030610739097,0.7981002580361544,0.8049801075119006,0.7950478413899429,0.7762737184279268,0.7762737184279268,0.7799371257203709,0.7759699574197039,0.7811683290670176,0.9183757726447468,0.9172380892961014,0.9150669737250933,0.8638566275186123,0.8857492798510451,0.8538871061487826
25,0.808234593965716,0.7986468753057366,0.8037167236501974,0.8037167236501974,0.8049339009692263,0.8211234618195228,0.8219221574493462,0.8208072880522294,0.8231084026854719,0.8254292512357984,0.8036600024312353,0.8000840590773975,0.7998018721894067,0.7987873428035402,0.8008599469609885,0.7871139421257464,0.7929920954238248,0.7869690042383546,0.7874002972580463,0.788346480883255,0.7966122849723188,0.794410945754676,0.7946328888218747,0.7973379981954614,0.7936105788540786,0.7986429670806705,0.7941497586296469,0.7980410008677654,0.80479765647748,0.7950468529896403,0.7763453793728249,0.7763453793728249,0.7798368330480839,0.7760044077272368,0.7809758116996823,0.9183227741016167,0.9172438959761091,0.9150626762847235,0.8638415491873656,0.8856403180126079,0.8538850977420024
26,0.8081274127101056,0.7985584994685953,0.8036212435232589,0.8036212435232589,0.8047747380029164,0.8210874820678982,0.8219074846997091,0.8208312118679579,0.8230278775069865,0.8253861481630413,0.8035263926853223,0.8000731361840442,0.7997115437967082,0.798651041779789,0.8008008044460119,0.7870350747657207,0.7928075425543902,0.7869330370692365,0.7873421375577501,0.7883377992197972,0.7965860138028098,0.7944485894860519,0.7945700119740369,0.7972072897516449,0.7936142369784069,0.7986064664282511,0.7942977996865438,0.7979819248546581,0.8046162379031663,0.7950354282001253,0.7764187403281458,0.7764187403281458,0.7797393328468608,0.7760396476410255,0.7807887161635945,0.9182708985124175,0.91724910790183,0.9150584520070999,0.8638227190967949,0.8855325671349279,0.8538832322761953
27,0.8080212484224019,0.7984733504039193,0.8035282527433117,0.8035282527433117,0.8046187401833268,0.8210524497271932,0.8218939937490058,0.8208566024653924,0.8229496371427025,0.8253086123680717,0.8034047255438101,0.8000511330592617,0.7996226681155452,0.7985119437636429,0.8007207670030955,0.786958150374548,0.7926232441527052,0.7868983983794579,0.787283566893683,0.7883311282958323,0.7965620887782,0.7944875235065693,0.7945110360655915,0.7970496343174257,0.7936195009950068,0.7985704963160208,0.7944470616437342,0.7979230657175923,0.8044359335679777,0.7950255050676257,0.7764937207246758,0.7764937207246758,0.7796446251167017,0.7760756344796507,0.7806070424587536,0.9182201458771493,0.9172537250732646,0.9150543008922234,0.8638041368375797,0.885426068267522,0.8538549220415037
28,0.8079161392985824,0.7983914082546477,0.8034377513103556,0.8034377513103556,0.8044659219083953,0.821018364797408,0.8218816506235506,0.8208834065070159,0.8228736815926205,0.8252309432651294,0.8032831970528747,0.8000299216677462,0.7995352653224671,0.7983759946293234,0.8006436882057798,0.7868831689522287,0.7924393127203015,0.7868650720662389,0.7872246228703729,0.7883264251008899,0.7965404739225546,0.7945276907008136,0.7944672882686998,0.7969241189450972,0.7936263347001882,0.7985350721219564,0.7946086868766172,0.7978644591773278,0.8042568252509322,0.7949666197856292,0.7765702399932,0.7765702399932,0.7795763943083377,0.7761123255616933,0.7804599805809279,0.9181705161958117,0.9172577474904129,0.9150502229400929,0.8637895456816681,0.8853208624599078,0.8538551283587157
29,0.8078121235346251,0.7983126531637191,0.8033497392243908,0.8033497392243908,0.8043162975760599,0.8209852272785426,0.82190788073582,0.8209115706553118,0.82280001085674,0.8251424849420114,0.8031507645764038,0.8000206124982493,0.799449355594023,0.7982487601701936,0.8005918916430661,0.7868219665068152,0.7922558607587105,0.7868330420267993,0.7871238803397157,0.7883236466244997,0.796521133259938,0.7945690339533699,0.794460705691474,0.7967717135636988,0.7936347018902604,0.7985228168998849,0.7947705266610163,0.7978061409546242,0.8040789947310487,0.7949125723292795,0.7766482175645042,0.7766482175645042,0.7794856712195811,0.7761496782057339,0.7803630722305668,0.9181335452044693,0.9172611751532745,0.9150462181507092,0.8637749494333313,0.885213218995131,0.8538554431732923
30,0.8076723888021093,0.7982589596698914,0.8032642164854173,0.8032642164854173,0.8041698815842588,0.8209530371705971,0.8218952003001966,0.8209410415727642,0.8227286249350612,0.825027958850778,0.8030193732397182,0.8000002029257748,0.7993872057698076,0.798124329751316,0.8005415034767172,0.7867619072999814,0.7920730007694633,0.7868022921583591,0.7870256411962114,0.7883227498561911,0.7965040308144161,0.7946114961488236,0.7944548042306496,0.7966229472174327,0.7936445663615328,0.7985096108062667,0.7949324686128041,0.7977481467702415,0.8039025237873453,0.7948856939391439,0.7767275728693743,0.7767275728693743,0.7794214465331661,0.7761876497303535,0.7802664842130089,0.9180969177254319,0.9172640080618498,0.9150422865240716,0.8637603514875198,0.8851072055382657,0.8538292787753768
