Pixel,RawADC,RawVoltageV,DarkADC,DarkVoltageV,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
21,1793.0,1.444908,3953.0,3.185568,2160.0,2160.538176424411,0.8585055643879174,0.8538940234585695
22,1792.0,1.444103,3953.0,3.185568,2161.0,2160.531957411627,0.8589030206677265,0.8538915655627053
23,1792.0,1.444103,3953.0,3.185568,2161.0,2160.5261262156437,0.8589030206677265,0.8538892609408967
24,1796.0,1.447326,3953.0,3.185568,2157.0,2160.5206741214765,0.8573131955484896,0.8538871061487826
25,1792.0,1.444103,3953.0,3.185568,2161.0,2160.5155924141413,0.8589030206677265,0.8538850977420024
26,1793.0,1.444908,3953.0,3.185568,2160.0,2160.5108723786543,0.8585055643879174,0.8538832322761953
27,1793.0,1.444908,3953.0,3.185568,2160.0,2160.4392413083406,0.8585055643879174,0.8538549220415037
28,1793.0,1.444908,3953.0,3.185568,2160.0,2160.4397633359,0.8585055643879174,0.8538551283587157
29,1793.0,1.444908,3953.0,3.185568,2160.0,2160.440559885463,0.8585055643879174,0.8538554431732923
30,1805.0,1.454579,3953.0,3.185568,2148.0,2160.3743582503575,0.8537360890302067,0.8538292787753768
31,1785.0,1.438462,3953.0,3.185568,2168.0,2160.274522004913,0.8616852146263911,0.853789821211405
32,1792.0,1.444103,3953.0,3.185568,2161.0,2160.182015061249,0.8589030206677265,0.8537532603548624
33,1793.0,1.444908,3953.0,3.185568,2160.0,2160.0967328395554,0.8585055643879174,0.8537195548734199
34,1781.0,1.435238,3953.0,3.185568,2172.0,2160.00896161835,0.863275039745628,0.8536848656825337
35,1792.0,1.444103,3953.0,3.185568,2161.0,2159.9288552258226,0.8589030206677265,0.8536532058069682
36,1792.0,1.444103,3953.0,3.185568,2161.0,2159.8563003671757,0.8589030206677265,0.8536245304700325
37,1793.0,1.444908,3953.0,3.185568,2160.0,2159.791183747613,0.8585055643879174,0.8535987948950359
38,1792.0,1.444103,3953.0,3.185568,2161.0,2159.7333920723404,0.8589030206677265,0.8535759543052887
39,1792.0,1.444103,3953.0,3.185568,2161.0,2159.692421188231,0.8589030206677265,0.8535597616763139
