Pixel,RawADC,RawVoltageV,DarkADC,DarkVoltageV,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
21,2548.0,2.053333,3927.0,3.164615,1379.0,1378.095158913389,0.792528735632184,0.8011110062784619
22,2559.0,2.062198,3927.0,3.164615,1368.0,1377.9834502448557,0.7862068965517242,0.8010460680604586
23,2551.0,2.055751,3927.0,3.164615,1376.0,1377.8742340618269,0.7908045977011494,0.8009825787682119
24,2544.0,2.05011,3927.0,3.164615,1383.0,1377.7675103643028,0.7948275862068965,0.8009205384017217
25,2556.0,2.05978,3927.0,3.164615,1371.0,1377.663279152284,0.7879310344827586,0.8008599469609885
26,2556.0,2.05978,3927.0,3.164615,1371.0,1377.5615404257699,0.7879310344827586,0.8008008044460119
27,2544.0,2.05011,3927.0,3.164615,1383.0,1377.423857618081,0.7948275862068965,0.8007207670030955
28,2558.0,2.061392,3927.0,3.164615,1369.0,1377.2912643612126,0.7867816091954023,0.8006436882057798
29,2567.0,2.068645,3927.0,3.164615,1360.0,1377.2021623619082,0.7816091954022989,0.8005918916430661
30,2559.0,2.062198,3927.0,3.164615,1368.0,1377.1154831282342,0.7862068965517242,0.8005415034767172
31,2551.0,2.055751,3927.0,3.164615,1376.0,1377.0312266601907,0.7908045977011494,0.800492523706733
32,2544.0,2.05011,3927.0,3.164615,1383.0,1376.9493929577777,0.7948275862068965,0.8004449523331137
33,2551.0,2.055751,3927.0,3.164615,1376.0,1376.8699820209954,0.7908045977011494,0.8003987893558595
34,2551.0,2.055751,3927.0,3.164615,1376.0,1376.7929938498435,0.7908045977011494,0.8003540347749699
35,2558.0,2.061392,3927.0,3.164615,1369.0,1376.7184284443224,0.7867816091954023,0.8003106885904454
36,2551.0,2.055751,3927.0,3.164615,1376.0,1376.6462858044315,0.7908045977011494,0.8002687508022857
37,2556.0,2.05978,3927.0,3.164615,1371.0,1376.5381293634919,0.7879310344827586,0.8002058775567944
38,2544.0,2.05011,3927.0,3.164615,1383.0,1376.4349927534986,0.7948275862068965,0.8001459224275121
39,2559.0,2.062198,3927.0,3.164615,1368.0,1376.336841114515,0.7862068965517242,0.8000888651497433
40,2551.0,2.055751,3927.0,3.164615,1376.0,1376.2820761532837,0.7908045977011494,0.8000570293124885
41,2548.0,2.053333,3927.0,3.164615,1379.0,1376.1911928111917,0.792528735632184,0.8000041972238143
