Pixel,RawADC,RawVoltageV,DarkADC,DarkVoltageV,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
21,2460.0,1.982418,3932.0,3.168645,1472.0,1475.686678885083,0.8110192837465565,0.8218114294413184
22,2445.0,1.97033,3932.0,3.168645,1487.0,1475.7379534951094,0.8192837465564738,0.821839984324386
23,2445.0,1.97033,3932.0,3.168645,1487.0,1475.796405766191,0.8192837465564738,0.8218725364542784
24,2447.0,1.971941,3932.0,3.168645,1485.0,1475.8421681486582,0.8181818181818182,0.821898021572148
25,2444.0,1.969524,3932.0,3.168645,1488.0,1475.8855077654955,0.8198347107438017,0.8219221574493462
26,2453.0,1.976777,3932.0,3.168645,1479.0,1475.8591606250125,0.8148760330578513,0.8219074846997091
27,2445.0,1.97033,3932.0,3.168645,1487.0,1475.8349355832024,0.8192837465564738,0.8218939937490058
28,2452.0,1.975971,3932.0,3.168645,1480.0,1475.8127716351753,0.8154269972451791,0.8218816506235506
29,2460.0,1.982418,3932.0,3.168645,1472.0,1475.85987176773,0.8110192837465565,0.82190788073582
30,2460.0,1.982418,3932.0,3.168645,1472.0,1475.837102128295,0.8110192837465565,0.8218952003001966
31,2444.0,1.969524,3932.0,3.168645,1488.0,1475.816271572863,0.8198347107438017,0.821883599742449
32,2460.0,1.982418,3932.0,3.168645,1472.0,1475.7973190965438,0.8110192837465565,0.8218730450888914
33,2453.0,1.976777,3932.0,3.168645,1479.0,1475.7033105610883,0.8148760330578513,0.821820691638794
34,2460.0,1.982418,3932.0,3.168645,1472.0,1475.6162522255977,0.8110192837465565,0.8217722087622065
35,2461.0,1.983223,3932.0,3.168645,1471.0,1475.5360133653082,0.8104683195592286,0.8217275236583732
36,2445.0,1.97033,3932.0,3.168645,1487.0,1475.4624632554558,0.8192837465564738,0.8216865635265388
37,2460.0,1.982418,3932.0,3.168645,1472.0,1475.395471171276,0.8110192837465565,0.8216492555659475
38,2460.0,1.982418,3932.0,3.168645,1472.0,1475.3349063880046,0.8110192837465565,0.8216155269758434
39,2461.0,1.983223,3932.0,3.168645,1471.0,1475.357511314237,0.8104683195592286,0.8216281156825149
40,2445.0,1.97033,3932.0,3.168645,1487.0,1475.3042148278569,0.8192837465564738,0.8215984348144262
41,2460.0,1.982418,3932.0,3.168645,1472.0,1475.3338963213266,0.8110192837465565,0.8216149644686714
42,2460.0,1.982418,3932.0,3.168645,1472.0,1475.4316217975786,0.8110192837465565,0.8216693878869219
43,2468.0,1.988864,3932.0,3.168645,1464.0,1475.525521395731,0.8066115702479338,0.8217216806697231
44,2453.0,1.976777,3932.0,3.168645,1479.0,1475.615595115783,0.8148760330578513,0.8217718428170747
45,2460.0,1.982418,3932.0,3.168645,1472.0,1475.701842957735,0.8110192837465565,0.8218198743289769
46,2469.0,1.98967,3932.0,3.168645,1463.0,1475.784264921587,0.806060606060606,0.8218657752054297
