Pixel,RawADC,RawVoltageV,DarkADC,DarkVoltageV,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
21,2539.0,2.046081,3936.0,3.171868,1397.0,1390.0884422750023,0.7982857142857143,0.804201373943722
22,2554.0,2.058168,3936.0,3.171868,1382.0,1389.8529267967547,0.7897142857142857,0.8040651222740931
23,2539.0,2.046081,3936.0,3.171868,1397.0,1389.6183830392542,0.7982857142857143,0.8039294327695296
24,2543.0,2.049304,3936.0,3.171868,1393.0,1389.3849242972972,0.796,0.8037943709739407
25,2552.0,2.056557,3936.0,3.171868,1384.0,1389.152663865679,0.7908571428571428,0.8036600024312353
26,2543.0,2.049304,3936.0,3.171868,1393.0,1388.9217150391953,0.796,0.8035263926853223
27,2555.0,2.058974,3936.0,3.171868,1381.0,1388.7114093959813,0.7891428571428571,0.8034047255438101
28,2568.0,2.069451,3936.0,3.171868,1368.0,1388.5013434148352,0.7817142857142857,0.8032831970528747
29,2555.0,2.058974,3936.0,3.171868,1381.0,1388.2724295371813,0.7891428571428571,0.8031507645764038
30,2568.0,2.069451,3936.0,3.171868,1368.0,1388.0453153037822,0.7817142857142857,0.8030193732397182
31,2552.0,2.056557,3936.0,3.171868,1384.0,1387.733631734403,0.7908571428571428,0.8028390564000786
32,2555.0,2.058974,3936.0,3.171868,1381.0,1387.4298177958312,0.7891428571428571,0.8026632923411942
33,2555.0,2.058974,3936.0,3.171868,1381.0,1387.2396089063732,0.7891428571428571,0.8025532516807682
34,2555.0,2.058974,3936.0,3.171868,1381.0,1386.9444968796079,0.7891428571428571,0.8023825218982777
35,2554.0,2.058168,3936.0,3.171868,1382.0,1386.6574549282882,0.7897142857142857,0.8022164608588428
36,2554.0,2.058168,3936.0,3.171868,1382.0,1386.3785179123508,0.7897142857142857,0.8020550887298195
37,2563.0,2.065421,3936.0,3.171868,1373.0,1386.1077206917337,0.7845714285714286,0.801898425678565
38,2568.0,2.069451,3936.0,3.171868,1368.0,1385.8450981263736,0.7817142857142857,0.8017464918724356
39,2555.0,2.058974,3936.0,3.171868,1381.0,1385.5906850762074,0.7891428571428571,0.8015993074787879
40,2555.0,2.058974,3936.0,3.171868,1381.0,1385.3445164011725,0.7891428571428571,0.8014568926649788
41,2555.0,2.058974,3936.0,3.171868,1381.0,1385.1066269612063,0.7891428571428571,0.8013192675983647
42,2547.0,2.052527,3936.0,3.171868,1389.0,1384.8770516162456,0.7937142857142857,0.8011864524463023
43,2555.0,2.058974,3936.0,3.171868,1381.0,1384.6558252262273,0.7891428571428571,0.8010584673761479
44,2555.0,2.058974,3936.0,3.171868,1381.0,1384.5294649261182,0.7891428571428571,0.8009853647419058
45,2554.0,2.058168,3936.0,3.171868,1382.0,1384.4056799038644,0.7897142857142857,0.8009137519711333
46,2555.0,2.058974,3936.0,3.171868,1381.0,1384.2845834542618,0.7891428571428571,0.8008436946077395
